term,E,P,A,E2,P2,A2
follower,-0.04,-1.26,-1.02,-0.04,-1.26,-1.02
fool,-1.47,-1.59,0.76,-1.47,-1.59,0.76
foreigner,0.98,-0.74,0.14,0.98,-0.74,0.14
foreman,0.62,1.19,0.31,0.62,1.19,0.31
forest_ranger,1.98,0.97,-0.22,1.98,0.97,-0.22
foster_child,1.28,-0.31,-0.01,1.28,-0.31,-0.01
foster_daughter,1.41,0.00,-0.32,1.41,0.00,-0.32
foster_father,1.94,1.70,0.18,1.94,1.70,0.18
foster_mother,2.30,1.72,0.25,2.30,1.72,0.25
foster_parent,2.23,1.83,0.37,2.23,1.83,0.37
foster_son,0.94,-0.53,-0.10,0.94,-0.53,-0.10
freak,-0.50,-0.45,0.54,-0.50,-0.45,0.54
freeloader,-2.35,-1.97,-0.40,-2.35,-1.97,-0.40
friend,3.40,2.57,1.09,3.40,2.57,1.09
fugitive,-1.75,-0.86,0.20,-1.75,-0.86,0.20
fundamentalist,-0.37,0.53,0.56,-0.37,0.53,0.56
fundraiser,2.62,2.24,1.43,2.62,2.24,1.43
funeral_director,0.80,0.58,-1.37,0.80,0.58,-1.37
gal,1.89,0.76,0.65,1.89,0.76,0.65
gambler,-1.19,-1.20,1.49,-1.19,-1.20,1.49
gamer,0.28,-0.22,0.59,0.28,-0.22,0.59
gangster,-2.25,1.20,1.98,-2.25,1.20,1.98
garbage_collector,1.27,-0.52,0.44,1.27,-0.52,0.44
gas_station_attendant,0.76,-1.11,-0.42,0.76,-1.11,-0.42
gay,0.71,0.00,0.75,0.71,0.00,0.75
geek,1.48,0.65,-0.99,1.48,0.65,-0.99
genius,2.06,2.71,0.06,2.06,2.71,0.06
gentleman,3.07,2.11,-0.29,3.07,2.11,-0.29
geologist,1.39,0.50,-1.07,1.39,0.50,-1.07
girl,2.01,1.35,0.99,2.01,1.35,0.99
girl_scout,2.15,-0.03,0.92,2.15,-0.03,0.92
girlfriend,2.11,1.37,1.09,2.11,1.37,1.09
glutton,-1.92,-0.61,-0.28,-1.92,-0.61,-0.28
gold_digger,-2.45,-0.39,0.65,-2.45,-0.39,0.65
golfer,0.70,0.25,-1.41,0.70,0.25,-1.41
goon,-1.22,-0.35,0.88,-1.22,-0.35,0.88
gossip,-2.11,0.88,1.69,-2.11,0.88,1.69
governor,0.56,2.17,0.75,0.56,2.17,0.75
graduate_student,1.88,1.03,0.05,1.88,1.03,0.05
grandchild,2.47,-0.46,2.24,2.47,-0.46,2.24
granddaughter,2.07,0.46,1.17,2.07,0.46,1.17
grandfather,2.79,1.68,-1.04,2.79,1.68,-1.04
grandmother,2.74,0.84,-1.05,2.74,0.84,-1.05
grandparent,2.57,1.70,-1.25,2.57,1.70,-1.25
grandson,2.16,0.45,1.48,2.16,0.45,1.48
granny,2.74,0.56,-1.86,2.74,0.56,-1.86
grind,0.36,1.58,0.91,0.36,1.58,0.91
grouch,-2.40,-1.24,-0.65,-2.40,-1.24,-0.65
grownup,0.95,1.82,0.13,0.95,1.82,0.13
guest,1.44,0.24,0.26,1.44,0.24,0.26
gunman,-2.30,2.34,1.30,-2.30,2.34,1.30
guy,0.74,1.36,1.07,0.74,1.36,1.07
hairdresser,1.55,-0.08,1.06,1.55,-0.08,1.06
hairstylist,1.64,0.28,0.69,1.64,0.28,0.69
half_brother,0.87,0.43,0.36,0.87,0.43,0.36
half_sister,0.68,0.22,0.39,0.68,0.22,0.39
half_wit,-1.64,-1.79,-0.70,-1.64,-1.79,-0.70
handicapped_person,0.50,-0.88,-1.15,0.50,-0.88,-1.15
handyman,1.81,1.03,0.64,1.81,1.03,0.64
has_been,-0.85,-2.01,-0.91,-0.85,-2.01,-0.91
heel,0.29,0.46,0.32,0.29,0.46,0.32
helper,2.73,1.87,0.44,2.73,1.87,0.44
henchman,-1.86,-0.18,0.52,-1.86,-0.18,0.52
hermit,-0.06,-1.30,-2.34,-0.06,-1.30,-2.34
hero,3.63,3.43,1.55,3.63,3.43,1.55
heterosexual,1.35,1.06,0.28,1.35,1.06,0.28
hick,-0.40,-0.76,0.65,-0.40,-0.76,0.65
hillbilly,-0.52,-1.22,0.38,-0.52,-1.22,0.38
hippie,0.69,-0.57,-0.27,0.69,-0.57,-0.27
hipster,0.00,-0.54,-0.14,0.00,-0.54,-0.14
homeless_person,-0.59,-2.42,-1.08,-0.59,-2.42,-1.08
homosexual,0.45,0.03,0.67,0.45,0.03,0.67
hooker,-1.32,-1.54,0.89,-1.32,-1.54,0.89
host,2.10,1.68,1.48,2.10,1.68,1.48
hostage,-1.54,-3.01,-1.35,-1.54,-3.01,-1.35
hostess,1.92,0.21,1.02,1.92,0.21,1.02
hothead,-1.93,-0.34,2.70,-1.93,-0.34,2.70
hotshot,-0.91,0.95,2.42,-0.91,0.95,2.42
housebreaker,-2.79,0.93,0.84,-2.79,0.93,0.84
houseguest,1.38,-0.13,0.26,1.38,-0.13,0.26
housekeeper,1.45,-0.78,-0.55,1.45,-0.78,-0.55
housewife,1.80,0.27,-0.18,1.80,0.27,-0.18
hunk,0.88,1.59,1.00,0.88,1.59,1.00
husband,2.07,1.64,0.35,2.07,1.64,0.35
hypochondriac,-1.24,-1.74,0.47,-1.24,-1.74,0.47
hypocrite,-2.59,-1.14,1.06,-2.59,-1.14,1.06
idiot,-2.13,-1.81,0.51,-2.13,-1.81,0.51
illegitimate_child,-0.65,-0.75,0.01,-0.65,-0.75,0.01
imbecile,-2.40,-1.86,-0.06,-2.40,-1.86,-0.06
immigrant,0.73,-0.63,-0.15,0.73,-0.63,-0.15
immigration_officer,0.16,1.58,0.73,0.16,1.58,0.73
in_law,0.48,0.92,1.06,0.48,0.92,1.06
infant,2.23,-2.30,1.15,2.23,-2.30,1.15
informant,0.37,1.57,-0.10,0.37,1.57,-0.10
informer,0.73,1.44,0.34,0.73,1.44,0.34
inmate,-1.69,-1.52,0.26,-1.69,-1.52,0.26
innocent,1.84,-0.67,-1.09,1.84,-0.67,-1.09
insider,0.69,1.99,-0.39,0.69,1.99,-0.39
inspector,0.51,1.51,-0.64,0.51,1.51,-0.64
instructor,1.80,2.07,0.52,1.80,2.07,0.52
insurance_agent,0.51,0.71,0.29,0.51,0.71,0.29
insurance_claims_investigator,-0.04,1.13,0.02,-0.04,1.13,0.02
intellectual,2.17,2.51,0.09,2.17,2.51,0.09
intern,1.47,-1.40,0.12,1.47,-1.40,0.12
interpreter,2.24,1.89,0.73,2.24,1.89,0.73
interrogator,-0.37,2.20,1.14,-0.37,2.20,1.14
interviewer,0.60,1.77,0.86,0.60,1.77,0.86
intimate,2.17,1.92,-0.13,2.17,1.92,-0.13
introvert,0.02,-0.86,-2.48,0.02,-0.86,-2.48
intruder,-3.03,0.91,-0.05,-3.03,0.91,-0.05
invalid,-0.78,-1.78,-0.89,-0.78,-1.78,-0.89
investigator,1.61,1.95,-0.08,1.61,1.95,-0.08
jackass,-2.72,-0.72,2.22,-2.72,-0.72,2.22
janitor,1.48,-0.95,-0.99,1.48,-0.95,-0.99
jerk,-2.70,-0.16,1.73,-2.70,-0.16,1.73
jeweler,0.85,0.57,-0.63,0.85,0.57,-0.63
job_seeker,1.41,-0.61,0.56,1.41,-0.61,0.56
jock,0.23,1.82,2.03,0.23,1.82,2.03
journalist,0.74,1.47,1.01,0.74,1.47,1.01
judge,1.19,2.58,-0.21,1.19,2.58,-0.21
junkie,-1.97,-1.92,-0.09,-1.97,-1.92,-0.09
juror,0.92,2.35,-1.15,0.92,2.35,-1.15
jury_foreman,0.49,1.21,-0.09,0.49,1.21,-0.09
juvenile,-0.24,-1.11,1.25,-0.24,-1.11,1.25
kid,1.32,-1.35,2.32,1.32,-1.35,2.32
kidnapper,-3.80,1.02,-0.05,-3.80,1.02,-0.05
killjoy,-2.33,0.66,-0.22,-2.33,0.66,-0.22
klutz,-0.85,-1.34,1.34,-0.85,-1.34,1.34
know_it_all,-1.49,0.31,1.83,-1.49,0.31,1.83
kook,-0.21,-0.07,0.96,-0.21,-0.07,0.96
labor_union_leader,0.65,2.04,1.85,0.65,2.04,1.85
laborer,0.99,-0.17,0.44,0.99,-0.17,0.44
lackey,-0.37,-1.30,-0.48,-0.37,-1.30,-0.48
lady,1.91,0.99,0.12,1.91,0.99,0.12
laid_off_worker,-1.29,-2.01,-1.01,-1.29,-2.01,-1.01
landlady,0.11,1.71,0.61,0.11,1.71,0.61
landlord,0.18,2.01,0.62,0.18,2.01,0.62
landscape_architect,1.69,1.05,-0.42,1.69,1.05,-0.42
landscaper,1.26,0.10,0.26,1.26,0.10,0.26
law_student,1.45,1.67,0.16,1.45,1.67,0.16
lawyer,0.88,2.62,1.68,0.88,2.62,1.68
leader,2.29,3.10,1.30,2.29,3.10,1.30
lecturer,1.30,1.70,0.40,1.30,1.70,0.40
legislator,-0.09,2.18,0.17,-0.09,2.18,0.17
lesbian,0.56,0.06,0.44,0.56,0.06,0.44
liar,-2.86,0.15,0.34,-2.86,0.15,0.34
liberal,0.72,0.74,1.25,0.72,0.74,1.25
librarian,1.87,-0.35,-2.07,1.87,-0.35,-2.07
library_assistant,1.72,-0.29,-2.06,1.72,-0.29,-2.06
little_brother,1.75,-0.35,1.93,1.75,-0.35,1.93
little_sister,1.83,-0.55,1.54,1.83,-0.55,1.54
loafer,-1.01,-1.41,-1.76,-1.01,-1.41,-1.76
loan_shark,-1.86,1.92,0.93,-1.86,1.92,0.93
lobby_attendant,1.28,-0.42,-0.15,1.28,-0.42,-0.15
lobbyist,-0.10,1.55,1.71,-0.10,1.55,1.71
locksmith,1.18,0.76,-0.41,1.18,0.76,-0.41
logger,0.72,1.18,0.78,0.72,1.18,0.78
loner,-0.36,-0.90,-2.12,-0.36,-0.90,-2.12
loser,-1.78,-2.57,-1.25,-1.78,-2.57,-1.25
louse,-1.22,-0.81,0.08,-1.22,-0.81,0.08
lout,-1.05,-0.37,-0.27,-1.05,-0.37,-0.27
lover,2.60,2.53,0.52,2.60,2.53,0.52
lunatic,-2.21,-0.31,1.95,-2.21,-0.31,1.95
machine_operator_in_a_factory,0.91,0.36,1.07,0.91,0.36,1.07
machine_repairer,1.39,0.99,0.74,1.39,0.99,0.74
madman,-2.27,0.80,2.33,-2.27,0.80,2.33
mafioso,-0.79,1.33,0.22,-0.79,1.33,0.22
magician,1.03,0.68,1.82,1.03,0.68,1.82
maid,1.50,-1.03,-0.76,1.50,-1.03,-0.76
maiden,1.05,-0.68,-0.71,1.05,-0.68,-0.71
mail_carrier,1.91,-0.07,-0.36,1.91,-0.07,-0.36
malcontent,-1.51,-0.17,0.24,-1.51,-0.17,0.24
male,1.06,2.00,1.09,1.06,2.00,1.09
malingerer,-1.43,-0.03,-0.70,-1.43,-0.03,-0.70
man,1.10,1.75,0.71,1.10,1.75,0.71
manager,1.16,2.66,1.25,1.16,2.66,1.25
manager_of_branch_store,1.22,1.36,1.28,1.22,1.36,1.28
maniac,-1.94,0.46,2.02,-1.94,0.46,2.02
marine,2.55,2.77,1.18,2.55,2.77,1.18
mastermind,0.65,2.89,0.61,0.65,2.89,0.61
maverick,0.79,1.32,1.53,0.79,1.32,1.53
mayor,1.01,2.02,0.82,1.01,2.02,0.82
mechanical_engineer,1.60,1.70,-0.06,1.60,1.70,-0.06
medic,2.81,2.67,1.90,2.81,2.67,1.90
menace,-2.52,0.64,1.65,-2.52,0.64,1.65
mental_case,-1.34,-0.61,0.43,-1.34,-0.61,0.43
mental_patient,-0.47,-1.67,-0.07,-0.47,-1.67,-0.07
mentor,3.13,3.02,-0.01,3.13,3.02,-0.01
merchant,0.77,0.44,1.28,0.77,0.44,1.28
midget,0.41,-0.65,0.10,0.41,-0.65,0.10
migrant_worker,0.80,-1.11,0.11,0.80,-1.11,0.11
millionaire,0.50,2.49,1.07,0.50,2.49,1.07
miner,0.81,-0.17,0.45,0.81,-0.17,0.45
minister,1.66,1.91,0.32,1.66,1.91,0.32
minor,0.29,-1.45,1.05,0.29,-1.45,1.05
minority,0.99,-0.74,0.09,0.99,-0.74,0.09
miser,-1.57,-0.69,-1.20,-1.57,-0.69,-1.20
missionary,2.17,1.41,-0.08,2.17,1.41,-0.08
mistress,-2.31,-0.20,0.23,-2.31,-0.20,0.23
mobster,-2.51,2.47,1.56,-2.51,2.47,1.56
moron,-2.11,-2.04,0.01,-2.11,-2.04,0.01
motel_owner,0.29,0.26,0.11,0.29,0.26,0.11
mother,3.09,2.63,0.72,3.09,2.63,0.72
mother_in_law,1.06,1.23,1.13,1.06,1.23,1.13
mother_in_law_maternal,0.51,1.30,1.33,0.51,1.30,1.33
mourner,-0.18,-1.68,-1.72,-0.18,-1.68,-1.72
mugger,-3.52,1.11,1.29,-3.52,1.11,1.29
murderer,-3.84,1.89,0.07,-3.84,1.89,0.07
murderess,-3.14,1.37,0.12,-3.14,1.37,0.12
music_director,1.35,1.31,1.22,1.35,1.31,1.22
musician,1.82,1.37,1.62,1.82,1.37,1.62
myself_as_I_really_am,2.11,1.06,0.59,2.11,1.06,0.59
myself_as_I_would_like_to_be,3.16,2.55,0.93,3.16,2.55,0.93
myself_as_others_see_me,2.18,1.15,0.40,2.18,1.15,0.40
myself_as_others_would_like_me_to_be,2.29,1.15,0.74,2.29,1.15,0.74
negotiator,1.87,2.26,0.42,1.87,2.26,0.42
neighbor,1.48,0.49,0.07,1.48,0.49,0.07
nephew,2.04,-0.07,1.62,2.04,-0.07,1.62
neurotic,-1.16,-0.53,1.58,-1.16,-0.53,1.58
newcomer,0.76,-1.00,-0.90,0.76,-1.00,-0.90
newlywed,2.20,1.51,1.66,2.20,1.51,1.66
newscaster,0.75,1.57,2.14,0.75,1.57,2.14
niece,1.97,-0.20,0.70,1.97,-0.20,0.70
night_watchman,1.62,1.27,-1.36,1.62,1.27,-1.36
ninny,-1.32,-1.98,-0.73,-1.32,-1.98,-0.73
nitwit,-1.60,-1.69,-0.28,-1.60,-1.69,-0.28
nobody,-0.48,-2.80,-2.28,-0.48,-2.80,-2.28
nonconformist,0.79,0.80,0.81,0.79,0.80,0.81
nonsmoker,2.16,1.30,-0.11,2.16,1.30,-0.11
novice,-0.06,-1.63,-0.82,-0.06,-1.63,-0.82
nurse,2.78,1.71,0.52,2.78,1.71,0.52
nursing_assistant,2.34,0.93,0.52,2.34,0.93,0.52
nut,-0.18,-0.80,0.34,-0.18,-0.80,0.34
nutritionist,2.39,1.21,0.26,2.39,1.21,0.26
oddball,0.28,-0.57,-0.01,0.28,-0.57,-0.01
offender,-2.45,0.61,1.34,-2.45,0.61,1.34
old_geezer,0.35,-0.83,-1.90,0.35,-0.83,-1.90
old_man,1.40,-0.65,-2.16,1.40,-0.65,-2.16
online_merchant,0.72,0.79,0.19,0.72,0.79,0.19
onlooker,-0.05,-0.78,-1.19,-0.05,-0.78,-1.19
ophthalmologist,1.59,1.45,-0.14,1.59,1.45,-0.14
opponent,-0.20,1.12,1.11,-0.20,1.12,1.11
opportunist,1.18,2.01,1.61,1.18,2.01,1.61
optical_engineer,1.59,1.34,-0.37,1.59,1.34,-0.37
optimist,2.88,2.42,1.36,2.88,2.42,1.36
organizer,2.13,1.61,0.50,2.13,1.61,0.50
orphan,0.04,-1.84,-1.16,0.04,-1.84,-1.16
outlaw,-1.69,0.63,0.98,-1.69,0.63,0.98
outsider,0.02,-0.97,-0.74,0.02,-0.97,-0.74
pagan,-0.59,-0.41,0.10,-0.59,-0.41,0.10
pal,2.78,1.67,0.79,2.78,1.67,0.79
paranoid,-1.19,-1.43,0.57,-1.19,-1.43,0.57
parent,2.59,3.10,0.97,2.59,3.10,0.97
parking_attendant,0.25,-0.30,-0.53,0.25,-0.30,-0.53
parolee,-0.57,-0.65,0.19,-0.57,-0.65,0.19
part_time_employee,0.86,-0.78,0.03,0.86,-0.78,0.03
partner,2.23,1.44,0.46,2.23,1.44,0.46
passenger,0.62,-0.70,-0.21,0.62,-0.70,-0.21
passerby,0.26,-0.71,-0.59,0.26,-0.71,-0.59
pastor,1.94,2.19,0.70,1.94,2.19,0.70
patient,0.59,-1.50,-1.33,0.59,-1.50,-1.33
patriot,1.79,1.68,1.56,1.79,1.68,1.56
patrolman,1.07,1.24,0.28,1.07,1.24,0.28
pawnbroker,-0.40,0.41,1.02,-0.40,0.41,1.02
pedestrian,0.68,-0.58,-0.46,0.68,-0.58,-0.46
pediatrician,2.96,2.43,0.40,2.96,2.43,0.40
peer,1.90,0.81,0.48,1.90,0.81,0.48
person,0.91,0.86,0.38,0.91,0.86,0.38
pessimist,-1.94,-0.92,-0.77,-1.94,-0.92,-0.77
pest,-2.43,-0.03,1.74,-2.43,-0.03,1.74
pharmacist,2.09,1.36,-0.38,2.09,1.36,-0.38
philanthropist,2.53,1.94,0.34,2.53,1.94,0.34
philosopher,1.46,0.94,-1.01,1.46,0.94,-1.01
phony,-2.94,-1.74,0.94,-2.94,-1.74,0.94
photographer,1.66,1.16,-0.69,1.66,1.16,-0.69
physician,2.41,2.37,-0.04,2.41,2.37,-0.04
physicist,1.65,1.43,-0.43,1.65,1.43,-0.43
pickpocket,-2.88,0.28,-0.10,-2.88,0.28,-0.10
pimp,-2.97,1.71,1.56,-2.97,1.71,1.56
plaintiff,0.24,0.72,0.28,0.24,0.72,0.28
playboy,-1.00,0.46,1.99,-1.00,0.46,1.99
plumber,1.45,0.25,-0.21,1.45,0.25,-0.21
police_officer,1.00,2.51,1.45,1.00,2.51,1.45
policeman,1.05,2.31,1.29,1.05,2.31,1.29
policewoman,1.35,1.96,1.51,1.35,1.96,1.51
political_scientist,0.88,0.84,0.35,0.88,0.84,0.35
politician,-0.91,2.10,1.48,-0.91,2.10,1.48
pornographer,-1.27,0.62,1.11,-1.27,0.62,1.11
poser,-2.06,-1.74,0.44,-2.06,-1.74,0.44
pothead,-0.80,-1.43,-1.83,-0.80,-1.43,-1.83
preacher,1.48,2.06,0.81,1.48,2.06,0.81
president,1.27,3.12,1.16,1.27,3.12,1.16
priest,1.98,2.21,-0.91,1.98,2.21,-0.91
principal,1.51,2.39,0.77,1.51,2.39,0.77
prisoner,-1.73,-2.16,-0.57,-1.73,-2.16,-0.57
private_eye,0.37,1.54,-1.34,0.37,1.54,-1.34
probation_officer,0.27,2.04,0.68,0.27,2.04,0.68
probationer,-0.12,0.68,0.38,-0.12,0.68,0.38
prodigy,2.13,2.38,0.95,2.13,2.38,0.95
professional,1.79,2.33,0.06,1.79,2.33,0.06
professor,1.81,2.30,0.19,1.81,2.30,0.19
prosecuting_attorney,0.16,2.37,1.79,0.16,2.37,1.79
prosecutor,0.13,2.60,1.49,0.13,2.60,1.49
prostitute,-1.43,-1.43,0.95,-1.43,-1.43,0.95
prude,-1.10,-0.47,-0.60,-1.10,-0.47,-0.60
psychiatric_patient,-0.28,-1.53,0.05,-0.28,-1.53,0.05
psychiatrist,1.70,1.73,-1.04,1.70,1.73,-1.04
psychoanalyst,0.83,1.22,-0.58,0.83,1.22,-0.58
psychologist,1.61,1.40,-0.86,1.61,1.40,-0.86
psychopath,-2.34,0.49,0.94,-2.34,0.49,0.94
psychotic,-1.65,-0.35,1.36,-1.65,-0.35,1.36
public_relations_specialist,1.54,1.75,1.41,1.54,1.75,1.41
punk,-1.30,-1.06,1.26,-1.30,-1.06,1.26
pupil,1.66,0.13,-0.21,1.66,0.13,-0.21
puritan,0.24,-0.31,-0.84,0.24,-0.31,-0.84
pusher,-1.23,1.22,1.49,-1.23,1.22,1.49
quack,-1.36,-1.22,1.31,-1.36,-1.22,1.31
queer,0.19,-0.47,0.95,0.19,-0.47,0.95
rabbi,1.99,2.07,-0.64,1.99,2.07,-0.64
racist,-3.55,-0.81,1.49,-3.55,-0.81,1.49
racketeer,-0.94,0.71,1.46,-0.94,0.71,1.46
radio_and_television_announcer,0.74,1.30,2.49,0.74,1.30,2.49
railroad_conductor,1.06,1.17,1.08,1.06,1.17,1.08
railroad_engineer,1.13,1.02,0.97,1.13,1.02,0.97
rake,0.85,-0.19,0.10,0.85,-0.19,0.10
rancher,1.06,0.32,-0.26,1.06,0.32,-0.26
rapist,-3.87,1.36,1.12,-3.87,1.36,1.12
rat,-2.01,-1.64,0.76,-2.01,-1.64,0.76
real_estate_agent,0.83,1.03,1.23,0.83,1.03,1.23
receptionist,1.22,-0.34,-0.04,1.22,-0.34,-0.04
redneck,-0.84,-0.43,1.82,-0.84,-0.43,1.82
referee,0.65,2.09,1.53,0.65,2.09,1.53
