term,E,P,A,E2,P2,A2
indolent,-0.64,-0.42,-0.16,-0.64,-0.42,-0.16
indulgent,-0.18,0.16,0.63,-0.18,0.16,0.63
industrious,1.87,1.96,1.33,1.87,1.96,1.33
inexact,-1.46,-0.57,-0.09,-1.46,-0.57,-0.09
inexperienced,-1.04,-1.65,-0.73,-1.04,-1.65,-0.73
infatuated,0.12,0.19,0.96,0.12,0.19,0.96
inhibited,-1.31,-0.64,-0.88,-1.31,-0.64,-0.88
innocent,1.91,0.17,-1.17,1.91,0.17,-1.17
inquisitive,2.4,1.93,0.97,2.4,1.93,0.97
insane,-1.58,-0.76,1.57,-1.58,-0.76,1.57
insecure,-2.64,-0.76,-1.38,-2.64,-0.76,-1.38
insensitive,-2.23,-0.02,0.32,-2.23,-0.02,0.32
insincere,-2.91,-0.7,-0.26,-2.91,-0.7,-0.26
intellectual,3.14,3.07,-0.01,3.14,3.07,-0.01
intelligent,3.07,3.03,0.54,3.07,3.03,0.54
interested,2.33,1.66,0.13,2.33,1.66,0.13
intimidated,-2.48,-1.46,-0.38,-2.48,-1.46,-0.38
intolerant,-2.39,-0.31,0.63,-2.39,-0.31,0.63
intoxicated,-0.74,-0.9,1.53,-0.74,-0.9,1.53
introspective,1.54,1.07,-1.22,1.54,1.07,-1.22
introverted,0.25,-0.67,-1.68,0.25,-0.67,-1.68
irate,-2.07,0.09,1.35,-2.07,0.09,1.35
irked,-2.15,-0.32,0.45,-2.15,-0.32,0.45
irrational,-2.84,-0.85,1.43,-2.84,-0.85,1.43
irritable,-2.04,-0.79,0.89,-2.04,-0.79,0.89
irritated,-2.36,-0.43,0.4,-2.36,-0.43,0.4
irritating,-2.77,0.25,2.09,-2.77,0.25,2.09
jealous,-2.57,-0.75,0.41,-2.57,-0.75,0.41
jittery,-0.77,-0.08,2.31,-0.77,-0.08,2.31
joyful,3.5,2.77,1.85,3.5,2.77,1.85
joyless,-2.84,-1.74,-2.26,-2.84,-1.74,-2.26
jubilant,2.75,2.27,2.16,2.75,2.27,2.16
kind,3.42,2.95,-0.04,3.42,2.95,-0.04
kindly,3.18,2.48,-0.08,3.18,2.48,-0.08
knowledgeable,3.23,3.24,0.09,3.23,3.24,0.09
lazy,-2.05,-2.16,-2.59,-2.05,-2.16,-2.59
lenient,1.08,0.33,-1.05,1.08,0.33,-1.05
light_hearted,1.77,0.95,0.18,1.77,0.95,0.18
lively,2.34,2.13,2.39,2.34,2.13,2.39
lonely,-2.94,-1.09,-2.66,-2.94,-1.09,-2.66
lonesome,-2.52,-1.52,-2.57,-2.52,-1.52,-2.57
lost,-2.13,-1.4,0.03,-2.13,-1.4,0.03
loved,3.54,3.51,0.45,3.54,3.51,0.45
lovesick,-1.7,0.01,-1.31,-1.7,0.01,-1.31
low,-2.7,-1.65,-2.36,-2.7,-1.65,-2.36
lower_class,-1.28,-1.93,-0.69,-1.28,-1.93,-0.69
loyal,3.38,2.8,-0.35,3.38,2.8,-0.35
lucky,2.76,1.28,0.68,2.76,1.28,0.68
lustful,-0.61,0.26,0.71,-0.61,0.26,0.71
mad,-1.96,-0.03,1.11,-1.96,-0.03,1.11
male,1.82,1.82,0.93,1.82,1.82,0.93
malicious,-2.85,1.02,0.52,-2.85,1.02,0.52
maniacal,-1.71,0.78,1.65,-1.71,0.78,1.65
manic,-1.64,-0.55,2.05,-1.64,-0.55,2.05
manipulative,-2.26,1.86,-0.5,-2.26,1.86,-0.5
