term,E,P,A,E2,P2,A2
abandon,-1.81,-1.03,1.20,-1.81,-1.03,1.20
abuse,-2.62,-1.96,1.13,-2.62,-1.96,1.13
accuse,-1.88,-0.97,1.34,-1.88,-0.97,1.34
address,1.52,1.26,-0.64,1.52,1.26,-0.64
admonish,2.58,2.09,-1.40,2.58,2.09,-1.40
advise,2.27,2.02,-1.47,2.27,2.02,-1.47
agree_with,1.68,0.88,-0.56,1.68,0.88,-0.56
aid,2.28,1.84,-1.02,2.28,1.84,-1.02
amuse,1.45,0.71,0.18,1.45,0.71,0.18
analyze,1.62,1.11,-0.51,1.62,1.11,-0.51
answer,1.71,1.02,-0.92,1.71,1.02,-0.92
apologize_to,2.74,1.65,-1.57,2.74,1.65,-1.57
appeal_to,-0.79,-1.11,0.19,-0.79,-1.11,0.19
applaud,0.84,0.09,-0.13,0.84,0.09,-0.13
apprehend,-1.15,-2.03,-0.86,-1.15,-2.03,-0.86
approach,1.06,0.89,-0.15,1.06,0.89,-0.15
argue_with,-1.44,-0.56,1.46,-1.44,-0.56,1.46
arrest,0.52,1.38,1.47,0.52,1.38,1.47
ask_about_something,1.50,1.06,-0.94,1.50,1.06,-0.94
ask_out,1.11,0.46,-0.28,1.11,0.46,-0.28
assault,-2.96,-0.84,2.00,-2.96,-0.84,2.00
assist,2.81,1.97,-1.30,2.81,1.97,-1.30
attack,-2.11,-0.30,1.56,-2.11,-0.30,1.56
babble_to,-1.29,-0.59,1.19,-1.29,-0.59,1.19
banter_with,1.46,0.64,0.03,1.46,0.64,0.03
baptize,-0.17,0.20,0.33,-0.17,0.20,0.33
bargain_with,0.18,-0.07,-0.01,0.18,-0.07,-0.01
barter_with,-0.33,0.33,0.06,-0.33,0.33,0.06
bash,-2.67,0.18,2.18,-2.67,0.18,2.18
bawl_out,-0.61,-0.13,0.51,-0.61,-0.13,0.51
be_intimate_with,1.75,1.09,-0.77,1.75,1.09,-0.77
be_sarcastic_toward,-1.71,-1.42,1.06,-1.71,-1.42,1.06
beat_up,-2.64,-0.72,2.19,-2.64,-0.72,2.19
beckon_to,0.07,-0.20,-0.39,0.07,-0.20,-0.39
bed,0.22,0.51,-0.11,0.22,0.51,-0.11
beg,-1.17,-0.94,-0.58,-1.17,-0.94,-0.58
belittle,-2.17,-1.59,1.18,-2.17,-1.59,1.18
bellow_at,-2.35,-1.24,1.91,-2.35,-1.24,1.91
beseech,-0.98,-1.12,-0.05,-0.98,-1.12,-0.05
bill,0.35,0.23,-0.07,0.35,0.23,-0.07
bind,-1.22,0.18,0.85,-1.22,0.18,0.85
bite,-1.26,-0.30,1.44,-1.26,-0.30,1.44
blabber_to,-0.51,-0.65,0.73,-0.51,-0.65,0.73
