term,E,P,A,E2,P2,A2
humble,2.22,1.71,-1.28,2.22,1.71,-1.28
humiliated,-1.54,-0.87,0.36,-1.54,-0.87,0.36
hurt,-1.6,-0.73,0.04,-1.6,-0.73,0.04
imaginative,2.17,1.27,-0.59,2.17,1.27,-0.59
immature,-1.63,-1.22,0.92,-1.63,-1.22,0.92
immoral,-3.07,-2.48,2.04,-3.07,-2.48,2.04
impatient,-1.68,-0.92,1.13,-1.68,-0.92,1.13
indecisive,-1.13,-1.38,-0.24,-1.13,-1.38,-0.24
independent,2.34,1.98,-1.32,2.34,1.98,-1.32
industrious,2.58,1.8,-1.37,2.58,1.8,-1.37
infatuated,0.31,0.07,0.44,0.31,0.07,0.44
insecure,-1.86,-2.08,0.01,-1.86,-2.08,0.01
insensitive,-1.74,-0.81,-0.29,-1.74,-0.81,-0.29
insincere,-2.37,-1.81,0.86,-2.37,-1.81,0.86
intelligent,1.91,1.59,-0.91,1.91,1.59,-0.91
intolerant,-1.62,-0.9,0.71,-1.62,-0.9,0.71
introspective,-0.06,-0.18,-0.64,-0.06,-0.18,-0.64
introverted,-1.09,-1.07,-1.45,-1.09,-1.07,-1.45
irritable,-1.31,-0.46,1.22,-1.31,-0.46,1.22
jealous,-0.47,-0.2,1.18,-0.47,-0.2,1.18
joyful,2.33,1.8,0.62,2.33,1.8,0.62
joyless,-1.78,-0.41,-0.47,-1.78,-0.41,-0.47
jubilant,-0.5,-0.46,0.77,-0.5,-0.46,0.77
kind,1.68,1.17,-1.67,1.68,1.17,-1.67
lazy,-2.07,-1.84,-0.54,-2.07,-1.84,-0.54
lonely,-1.54,-1.28,-0.69,-1.54,-1.28,-0.69
lonesome,-0.84,-0.12,-0.05,-0.84,-0.12,-0.05
lovesick,0.83,0.06,-1,0.83,0.06,-1
lustful,0.83,0.56,1.08,0.83,0.56,1.08
mad,-0.33,-0.11,1.68,-0.33,-0.11,1.68
male,1.11,1.43,0.44,1.11,1.43,0.44
masculine,1.08,1.13,1.01,1.08,1.13,1.01
mature,2.19,1.57,-0.9,2.19,1.57,-0.9
mean,-0.79,-0.82,0.34,-0.79,-0.82,0.34
meek,1.7,0.98,-0.03,1.7,0.98,-0.03
melancholy,-2.32,-1.58,-0.03,-2.32,-1.58,-0.03
merry,2.56,2.03,0.31,2.56,2.03,0.31
middle_aged,0.15,-0.48,-0.76,0.15,-0.48,-0.76
mischievous,-1.82,-0.71,1.42,-1.82,-0.71,1.42
miserable,-2.33,-1.61,-0.26,-2.33,-1.61,-0.26
modest,2.62,1.91,-1.68,2.62,1.91,-1.68
moved,1.75,0.95,-0.82,1.75,0.95,-0.82
naive,-1.28,-1.05,-0.67,-1.28,-1.05,-0.67
narrowminded,-1.6,-1.63,-0.3,-1.6,-1.63,-0.3
obedient,1.78,0.17,-1.24,1.78,0.17,-1.24
old,0.9,-0.62,-0.93,0.9,-0.62,-0.93
open_minded,2.04,1.73,-1.04,2.04,1.73,-1.04
oppressive,-2.68,-1.04,1.5,-2.68,-1.04,1.5
optimistic,2.8,2.38,-0.78,2.8,2.38,-0.78
outraged,-1.56,-0.59,1.39,-1.56,-0.59,1.39
overjoyed,2.54,2.02,0.56,2.54,2.02,0.56
overwhelmed,-1.14,-0.06,0.5,-1.14,-0.06,0.5
passionate,2.15,2.15,0.67,2.15,2.15,0.67
peaceful,2.09,1.36,-1.35,2.09,1.36,-1.35
perceptive,1.96,1.46,-0.18,1.96,1.46,-0.18
persistent,2.18,2.32,-0.61,2.18,2.32,-0.61
petrified,-0.95,-0.92,-0.18,-0.95,-0.92,-0.18
petty,-2,-1.82,0.03,-2,-1.82,0.03
playful,1.78,0.92,0.18,1.78,0.92,0.18
polite,2.59,1.87,-2.21,2.59,1.87,-2.21
pompous,-2.05,-1.26,1.2,-2.05,-1.26,1.2
poor,-0.33,-0.61,-0.59,-0.33,-0.61,-0.59
popular,2.18,1.11,-0.79,2.18,1.11,-0.79
prejudiced,-0.88,-0.19,0.39,-0.88,-0.19,0.39
proud,1.71,1.61,0.59,1.71,1.61,0.59
quarrelsome,-1.95,-0.48,2.06,-1.95,-0.48,2.06
raunchy,-1.33,-0.64,0.88,-1.33,-0.64,0.88
