StickingOnesTongueOut -1.65 -0.07 1 -1.65 -0.07 1
Stretching 1.6 0.78 -1.65 1.6 0.78 -1.65
SuckingOnOnesFingers -1.9 -0.92 -1.27 -1.9 -0.92 -1.27
Swallowing 1.05 0.03 0.21 1.05 0.03 0.21
TakingAStepBack -0.05 0 0.03 -0.05 0 0.03
TakingAStepForward 1.56 1.05 0.55 1.56 1.05 0.55
TakingAStepSideways 0.45 0.36 0.45 0.45 0.36 0.45
Throwing -0.16 1.53 1.72 -0.16 1.53 1.72
ThrustingOnesFaceOut -1.01 1.43 1.42 -1.01 1.43 1.42
Tickling 2.01 1.4 1.53 2.01 1.4 1.53
TiltingOnesHead 0.86 -0.05 -0.75 0.86 -0.05 -0.75
Turning 0.51 0.04 0.08 0.51 0.04 0.08
Waving 2.81 0.46 1.11 2.81 0.46 1.11
Weeping -0.67 0.81 -0.44 -0.67 0.81 -0.44
Whispering -0.35 -0.64 -1.28 -0.35 -0.64 -1.28
WideningOnesEyes 0.16 0.6 0.21 0.16 0.6 0.21
Wrinkling -0.7 -0.25 0.82 -0.7 -0.25 0.82
Yawning -0.08 -0.24 -1.74 -0.08 -0.24 -1.74 
