term,E,P,A,E2,P2,A2
shield,2.40,2.86,1.15,2.40,2.86,1.15
shock,-0.71,1.37,1.81,-0.71,1.37,1.81
shoot,-3.57,1.53,3.01,-3.57,1.53,3.01
short_change,-2.47,-0.17,0.01,-2.47,-0.17,0.01
shout_at,-1.36,1.41,2.68,-1.36,1.41,2.68
shove,-2.48,1.08,1.79,-2.48,1.08,1.79
show_something_to,1.16,1.00,0.04,1.16,1.00,0.04
shun,-2.40,0.74,-0.26,-2.40,0.74,-0.26
shush,-0.88,0.50,0.61,-0.88,0.50,0.61
sicken,-2.77,0.99,0.14,-2.77,0.99,0.14
silence,-1.13,1.51,0.48,-1.13,1.51,0.48
sing_to,2.28,1.74,1.66,2.28,1.74,1.66
sit_next_to,1.23,0.63,-0.43,1.23,0.63,-0.43
slander,-3.26,0.78,1.46,-3.26,0.78,1.46
slap,-2.43,0.92,2.35,-2.43,0.92,2.35
slay,-3.31,1.81,1.24,-3.31,1.81,1.24
sleep_with,1.15,2.21,1.25,1.15,2.21,1.25
slug,-2.72,1.06,1.45,-2.72,1.06,1.45
smile_at,3.18,2.61,-0.37,3.18,2.61,-0.37
smirk_at,-0.69,0.37,-0.46,-0.69,0.37,-0.46
smother,-2.06,0.85,0.25,-2.06,0.85,0.25
snarl_at,-2.38,0.28,1.36,-2.38,0.28,1.36
sneer_at,-2.10,-0.21,0.01,-2.10,-0.21,0.01
snub,-1.79,0.14,0.01,-1.79,0.14,0.01
snuggle,2.79,1.32,-1.98,2.79,1.32,-1.98
sock,-2.58,0.94,2.36,-2.58,0.94,2.36
someone_is,0.15,-0.44,-1.25,0.15,-0.44,-1.25
soothe,2.93,2.01,-1.55,2.93,2.01,-1.55
speak_to,2.31,1.52,1.69,2.31,1.52,1.69
spoil,-0.74,1.07,0.86,-0.74,1.07,0.86
spurn,-1.55,0.23,0.85,-1.55,0.23,0.85
stab,-3.68,1.98,2.23,-3.68,1.98,2.23
stall,-0.91,0.10,-0.14,-0.91,0.10,-0.14
stammer_at,-0.92,-0.69,0.60,-0.92,-0.69,0.60
stare_at,-0.89,0.36,-1.45,-0.89,0.36,-1.45
stare_down,-1.46,1.42,-1.41,-1.46,1.42,-1.41
startle,-0.85,0.93,2.13,-0.85,0.93,2.13
steal_from,-3.28,0.58,0.10,-3.28,0.58,0.10
stop,0.25,1.79,1.22,0.25,1.79,1.22
strangle,-3.97,2.08,1.02,-3.97,2.08,1.02
strip,-1.41,1.28,0.93,-1.41,1.28,0.93
stroke,1.33,0.72,-1.01,1.33,0.72,-1.01
study,0.97,0.90,-1.26,0.97,0.90,-1.26
stun,-0.23,1.83,1.73,-0.23,1.83,1.73
stymie,-0.81,0.64,0.33,-0.81,0.64,0.33
subdue,-0.73,1.64,0.62,-0.73,1.64,0.62
submit_to,-1.39,-1.35,-1.20,-1.39,-1.35,-1.20
suck_up_to,-1.52,-1.36,0.42,-1.52,-1.36,0.42
sue,-1.09,1.53,0.96,-1.09,1.53,0.96
suggest_something_to,1.20,1.34,0.34,1.20,1.34,0.34
summon,0.03,1.78,0.58,0.03,1.78,0.58
supervise,1.01,2.21,-0.25,1.01,2.21,-0.25
support,3.02,2.68,0.16,3.02,2.68,0.16
surprise,1.92,1.84,1.82,1.92,1.84,1.82
suspect,-0.86,0.56,-0.56,-0.86,0.56,-0.56
sweet_talk,0.87,1.79,0.44,0.87,1.79,0.44
swindle,-2.63,0.50,0.70,-2.63,0.50,0.70
sympathize_with,2.68,2.07,-0.67,2.68,2.07,-0.67
tackle,-0.70,2.26,2.92,-0.70,2.26,2.92
talk_down_to,-2.89,-0.36,1.18,-2.89,-0.36,1.18
talk_to,2.19,1.75,0.88,2.19,1.75,0.88
tantalize,-1.04,0.52,0.54,-1.04,0.52,0.54
taunt,-2.44,0.24,1.49,-2.44,0.24,1.49
teach,2.99,2.88,0.22,2.99,2.88,0.22
tease,-2.06,0.22,1.29,-2.06,0.22,1.29
tell_off,-1.16,1.19,2.07,-1.16,1.19,2.07
tempt,-1.44,1.01,0.06,-1.44,1.01,0.06
terrorize,-3.74,1.80,1.51,-3.74,1.80,1.51
test,0.32,1.24,0.07,0.32,1.24,0.07
thank,3.31,2.68,0.13,3.31,2.68,0.13
threaten,-3.27,1.31,1.62,-3.27,1.31,1.62
thrill,2.57,2.16,2.86,2.57,2.16,2.86
tickle,0.96,1.33,2.27,0.96,1.33,2.27
tip,3.01,2.13,-0.10,3.01,2.13,-0.10
titillate,0.73,1.33,1.49,0.73,1.33,1.49
toast,2.05,1.44,1.60,2.05,1.44,1.60
torment,-3.31,1.17,0.58,-3.31,1.17,0.58
torture,-3.77,1.68,0.98,-3.77,1.68,0.98
touch,1.15,1.44,-0.50,1.15,1.44,-0.50
train,1.97,2.08,0.39,1.97,2.08,0.39
transact_business_with,1.46,1.41,0.50,1.46,1.41,0.50
trap,-2.69,1.28,0.72,-2.69,1.28,0.72
treat,2.67,2.09,0.42,2.67,2.09,0.42
trick,-1.92,0.58,0.21,-1.92,0.58,0.21
trust,3.34,3.04,-0.06,3.34,3.04,-0.06
turn_to,1.91,1.14,-0.17,1.91,1.14,-0.17
underestimate,-1.74,-0.61,-0.56,-1.74,-0.61,-0.56
undermine,-2.29,-0.24,-0.22,-2.29,-0.24,-0.22
underpay,-2.86,0.43,-0.62,-2.86,0.43,-0.62
underrate,-1.91,0.07,-0.11,-1.91,0.07,-0.11
understand,3.19,2.77,-0.52,3.19,2.77,-0.52
undress,1.09,1.79,-0.20,1.09,1.79,-0.20
unfriend,-1.49,0.97,-0.22,-1.49,0.97,-0.22
unnerve,-1.33,1.44,0.41,-1.33,1.44,0.41
uplift,3.34,2.92,0.79,3.34,2.92,0.79
upset,-2.50,1.10,0.91,-2.50,1.10,0.91
upstage,-1.13,1.38,2.07,-1.13,1.38,2.07
urge,0.62,1.48,1.41,0.62,1.48,1.41
use,-2.67,0.26,-0.42,-2.67,0.26,-0.42
value,2.99,2.36,-0.40,2.99,2.36,-0.40
vex,-1.82,0.69,0.32,-1.82,0.69,0.32
victimize,-3.27,0.66,0.84,-3.27,0.66,0.84
visit,2.51,1.28,0.11,2.51,1.28,0.11
wait_on,0.65,-0.71,-1.79,0.65,-0.71,-1.79
walk_out_on,-2.36,1.15,0.70,-2.36,1.15,0.70
warn,2.29,1.95,1.21,2.29,1.95,1.21
wash,1.27,1.08,-0.29,1.27,1.08,-0.29
watch,0.15,0.58,-1.58,0.15,0.58,-1.58
wed,2.98,2.78,0.48,2.98,2.78,0.48
welcome,3.02,2.08,1.10,3.02,2.08,1.10
wheedle,-1.21,0.57,0.10,-1.21,0.57,0.10
whine_to,-1.87,-1.46,1.47,-1.87,-1.46,1.47
whip,-3.38,2.33,2.62,-3.38,2.33,2.62
whisper_to,0.45,0.14,-2.52,0.45,0.14,-2.52
wink_at,1.44,0.91,0.07,1.44,0.91,0.07
work,0.35,1.58,0.96,0.35,1.58,0.96
worship,0.06,0.40,0.28,0.06,0.40,0.28
wrestle_with,-0.17,1.34,2.46,-0.17,1.34,2.46
wrong,-2.89,0.74,0.48,-2.89,0.74,0.48
yell_at,-1.73,1.22,2.73,-1.73,1.22,2.73
yield_to,0.01,-0.82,-1.01,0.01,-0.82,-1.01
