,E-m,P-m,A-m,E-f,P-f,A-f,
,Evaluation,Potency,Activity,Evaluation,Potency,Activity,< Dimension
,Male,Male,Male,Female,Female,Female,< Participant gender
restraint,1.20952381,0.761904762,-1.185714286,1.00952381,1.392857143,-1.057142857,
reverence,1.74375,0.99375,-1.403125,1.423809524,0.89047619,-1.371428571,
reward,2.468292683,1.434146341,0.787804878,2.40952381,1.671428571,0.388095238,
risk-averse,0.135483871,-0.251612903,-0.809677419,0.321052632,0.102631579,-0.626315789,
risk-taking,0.25,1.481578947,1.947368421,0.088372093,1.065116279,2.274418605,
sacredness,1.488235294,1.564705882,-1.282352941,1.836363636,1.911363636,-1.161363636,
safety,2.68372093,1.41627907,-0.853488372,2.823809524,1.616666667,-0.75,
salvation,1.646341463,0.907317073,-0.470731707,2.35,1.895454545,-0.109090909,
satisfaction,2.472222222,1.461111111,-0.119444444,2.352272727,1.584090909,0.140909091,
security,2.5775,2.47,0.1475,3.109090909,2.970454545,-0.256818182,
self respect ,3.019047619,2.521428571,-0.583333333,3.107142857,2.65952381,-0.49047619,
self-control,2.325581395,2.013953488,-0.318604651,2.556521739,2.569565217,-0.965217391,
self-indulgent ,-0.465853659,-0.173170732,1.153658537,-1.211904762,-0.821428571,0.35952381,
self-reliance,2.375,2.184090909,0.118181818,2.434090909,2.440909091,0.254545455,
self-respect,2.87804878,2.448780488,-0.395121951,3.229545455,2.654545455,-0.579545455,
self-sufficiency,2.834883721,2.825581395,0.144186047,2.795238095,2.723809524,0.014285714,
self‑discipline ,2.604761905,2.652380952,-0.785714286,2.70952381,2.642857143,-0.54047619,
selflessness,2,1.053658537,-0.353658537,2.216666667,1.626190476,-0.730952381,
sensitivity,1.480555556,0.311111111,-1.433333333,1.284090909,-0.359090909,-1.227272727,
sensuality,1.771428571,1.273809524,0.235714286,1.766666667,1.357142857,-0.561904762,
serenity,2.895,0.7025,-2.5575,2.695121951,1.685365854,-2.56097561,
service,1.505555556,0.913888889,0.561111111,1.709302326,0.906976744,0.695348837,
sexuality,1.545714286,1.648571429,1.142857143,1.870454545,2.065909091,1.088636364,
sharing,2.8625,1.5325,0.17,3.022727273,2.002272727,-0.045454545,
shrewdness,-0.0975,0.795,-0.445,-0.474358974,0.602564103,0.217948718,
significance,2.164705882,1.882352941,0.361764706,1.618604651,1.725581395,0.393023256,
silence,0.393023256,0.269767442,-2.318604651,1.002173913,0.245652174,-2.6,
simplicity,1.365714286,0.465714286,-0.988571429,1.972093023,0.46744186,-1.627906977,
sincerity,2.751219512,1.148780488,-0.853658537,3.134090909,1.677272727,-1.322727273,
skilfulness,2.475,2.302777778,0.619444444,2.484090909,2.338636364,0.304545455,
social justice ,1.697727273,1.759090909,1.404545455,1.948888889,1.575555556,0.82,
social order ,1.857142857,1.323809524,-0.221428571,0.797560976,1.002439024,-0.041463415,
social power  ,1.29,1.9,1.405,0.90952381,1.897619048,1.342857143,
social recognition,1.5,1.606818182,1.127272727,1.142222222,1.473333333,0.973333333,
social responsibility,2.269767442,1.034883721,0.3,2.442857143,1.764285714,0.835714286,
solidarity,1.982926829,1.780487805,-0.209756098,1.788095238,1.45,-0.480952381,
solitude,0.438095238,0.04047619,-2.635714286,1.143902439,0.846341463,-2.153658537,
soundness,2.046341463,1.329268293,-0.226829268,1.907317073,1.57804878,-0.507317073,
spirituality,1.925,1.445454545,-0.613636364,1.944444444,1.428888889,-1.293333333,
spontaneity,1.21,1.2875,2.3075,1.458139535,1.327906977,2.534883721,
stability,2.122727273,1.465909091,-0.652272727,2.230434783,1.645652174,-1.413043478,
stealth,0.715909091,0.718181818,-1.347727273,0.720930233,1.651162791,-1.262790698,
strength,2.125714286,2.731428571,1.04,2.443181818,3.193181818,0.711363636,
structure,1.6125,1.9375,-0.3425,1.895238095,1.880952381,-0.573809524,
success,2.733333333,2.312820513,1.533333333,3.046666667,3.113333333,1.826666667,
sucessful,2.55,2.85952381,1.047619048,2.635714286,2.592857143,1.516666667,
superiority,0.165,2.005,1.4,-1.115909091,1.222727273,1.988636364,
support,2.392857143,1.69047619,-0.366666667,2.152380952,1.657142857,-0.242857143,
surprise,0.485714286,0.473809524,1.414285714,0.570731707,0.617073171,2.092682927,
sustainability ,2.427906977,1.586046512,-0.23255814,2.628571429,2.116666667,0.073809524,
sympathy,2.195121951,0.831707317,-1.126829268,2.706976744,1.148837209,-1.276744186,
synergy,1.927272727,1.945454545,0.915151515,1.941935484,2.012903226,0.587096774,
teamwork,2.347222222,1.763888889,1.133333333,2.3,2.025,1.572727273,
thankfulness,2.634090909,1.488636364,0.134090909,3.1,1.656521739,-0.810869565,
thoughtfulness,2.6025,1.735,-0.4175,3.159090909,2.077272727,-0.581818182,
thrift,1.480952381,0.804761905,-0.84047619,1.814634146,1.004878049,-0.314634146,
tolerance,2.0875,1.2075,-0.505,2.39047619,1.59047619,-0.745238095,
tradition,1.452380952,1.283333333,-0.45,1.457142857,1.195238095,-0.978571429,
traditionalism,0.625641026,0.356410256,-0.869230769,0.031707317,0.248780488,-1.129268293,
tranquillity,2.476190476,0.192857143,-2.545238095,2.834883721,0.790697674,-2.602325581,
transparency,1.52,0.871428571,-0.445714286,1.738636364,0.463636364,-0.584090909,
true friendship,3.036363636,2.134090909,0.438636364,3.497826087,2.591304348,-0.006521739,
trust,2.746153846,1.992307692,-0.223076923,2.739534884,2.104651163,-0.976744186,
trustworthiness,2.606818182,2.152272727,0.343181818,2.882608696,2.295652174,-0.843478261,
truth,2.583333333,2.607142857,-0.15,2.90952381,2.671428571,-0.311904762,
understanding,2.674418605,1.4,-1.174418605,2.935714286,1.764285714,-0.628571429,
uniformity,0.197058824,0.135294118,-0.85,-0.179069767,-0.411627907,-1.01627907,
uniqueness,2.127272727,1.336363636,0.345454545,2.255555556,1.726666667,0.74,
unity,2.151428571,1.785714286,0.091428571,2.590909091,2.556818182,0.043181818,
unity with nature ,2.746341463,1.243902439,-1.558536585,2.387804878,1.17804878,-1.780487805,
vigor,2.017073171,2.719512195,2.226829268,1.502439024,2.090243902,2.356097561,
virtue,2.602631579,1.915789474,-0.373684211,2.648837209,1.548837209,-0.590697674,
vision,2.073529412,2.097058824,0.405882353,2.330232558,1.948837209,-0.018604651,
vitality,2.352941176,2.576470588,1.602941176,2.793181818,2.793181818,1.893181818,
warmth,2.320588235,1.447058824,-0.702941176,2.475,1.336363636,-0.663636364,
wealth,2.002777778,2.813888889,0.944444444,1.743181818,2.338636364,0.918181818,
well-being ,2.609090909,1.961363636,0,2.754347826,2.004347826,-0.417391304,
wisdom,2.8025,2.4875,-0.4675,3.297777778,2.873333333,-0.96,
wonder,1.876190476,1.002380952,-0.271428571,2.130952381,1.219047619,-0.30952381,
worldly,1.430952381,1.623809524,0.666666667,1.069047619,1.228571429,1.233333333,
youthfulness,1.838235294,1.111764706,1.826470588,1.934090909,1.129545455,2.35,
