,E-m,P-m,A-m,E-f,P-f,A-f,
,Evaluation,Potency,Activity,Evaluation,Potency,Activity,< Dimension
,Male,Male,Male,Female,Female,Female,< Participant gender
cheerfulness,2.3125,1.175,1.505,2.9,1.690697674,1.702325581,
choice,2.236585366,1.873170732,0.770731707,2.590697674,2.104651163,0.439534884,
choosing own goals ,2.683333333,2.666666667,0.661111111,2.647727273,2.756818182,0.686363636,
clarity,2.148780488,1.526829268,-0.295121951,2.697727273,1.727272727,-0.661363636,
cleanliness,2.172727273,1.036363636,-0.275,2.602222222,1.12,-0.235555556,
closeness,2.037837838,1.291891892,-0.57027027,2.588888889,1.571111111,-0.597777778,
coaching,1.781395349,1.737209302,1.488372093,1.508888889,1.486666667,1.524444444,
collaboration,2.126190476,1.557142857,0.571428571,1.823809524,1.823809524,0.676190476,
comfort,2.290243902,1.009756098,-1.351219512,2.765116279,1.369767442,-1.972093023,
commitment,2.3,1.935,0.175,3.052380952,2.714285714,-0.366666667,
community ,2.217142857,1.625714286,0.52,2.377272727,2.063636364,1.288636364,
community involvement,2.414285714,1.785714286,1.104761905,2.043902439,1.812195122,1.348780488,
compassion,2.875,2.020454545,0.034090909,2.967391304,1.756521739,-1.063043478,
compliance,1.191176471,-0.194117647,-0.888235294,0.85,-0.516666667,-1.283333333,
composure,2.358823529,1.797058824,-1.5,2.211363636,1.697727273,-1.518181818,
concentration,2.32195122,2.007317073,-0.714634146,2.11627907,2.130232558,-1.572093023,
confidence,2.412195122,2.595121951,0.673170732,2.490697674,2.734883721,1.069767442,
conflict resolution,2.397619048,2.057142857,0.347619048,2.304761905,1.892857143,0.669047619,
conformity,-0.151428571,-0.702857143,-0.8,-0.842857143,-1.180952381,-1.219047619,
connectedness,1.964285714,1.519047619,0.288095238,2.017073171,1.76097561,-0.097560976,
connection,2.00952381,1.742857143,0.285714286,2.229545455,1.827272727,-0.209090909,
consciousness,2.05,1.5425,-0.1825,2.309302326,1.748837209,-0.169767442,
consideration,2.795348837,1.197674419,-0.876744186,2.973809524,1.354761905,-0.911904762,
consistency,2.34,1.9325,-0.12,2.677777778,1.973333333,-0.237777778,
