term,component,mean_E_male,mean_P_male,mean_A_male,n_male,sd_E_male,sd_P_male,sd_A_male,mean_E_female,mean_P_female,mean_A_female,n_female,sd_E_female,sd_P_female,sd_A_female
car_bomb,artifact,-3.63,2.43,1.8,40,0.74,2.24,1.84,-3.87,3.3,2.19,47,0.4,1.23,1.5
suicide_bomb,artifact,-3.67,3.05,2.13,39,0.66,1.95,2.04,-3.85,3.1,1.98,48,0.5,1.8,1.79
roadside_bomb,artifact,-3.89,3.11,1.84,38,0.39,1.97,2.24,-3.89,3.35,2.24,46,0.38,1.18,1.85
tank_vehicle,artifact,0.15,3.03,1.08,40,2.38,1.67,2.39,-0.46,3.46,1,46,2.25,1.05,2.46
missile,artifact,-1.51,2.85,1.92,39,1.94,1.5,1.95,-2.27,3.44,2.52,48,1.75,1.15,1.7
weapon_of_mass_destruction,artifact,-3.37,3.61,2.21,38,1.13,0.92,1.8,-3.29,3.78,2.44,55,1.57,0.66,1.65
nuclear_weapon,artifact,-2.62,3.73,2.05,37,1.93,1.04,2.11,-3.34,3.72,1.84,50,1.18,0.7,1.72
biological_weapon,artifact,-3.08,3.59,1.41,37,1.61,0.6,2.06,-3.2,3.51,1.27,45,1.32,0.84,2.55
ebay_website,artifact,1.62,1.54,1.41,37,1.74,1.48,1.52,2.76,2.48,2.3,46,1.21,1.46,1.41
youtube_website,artifact,2.63,2.03,2.29,38,1.22,1.9,1.35,2.36,2.65,3.05,55,1.83,1.31,1.15
wikipedia_website,artifact,2.33,2.03,1.74,39,1.75,1.46,1.41,2.04,1.45,1.41,49,2.15,2.03,1.54
facebook_website,artifact,2.18,2.08,2.68,38,2.1,2.17,1.68,2.41,2.49,2.78,51,1.78,1.38,1.45
myspace_website,artifact,-0.42,0.5,0.71,38,2.14,2.05,2.14,-0.47,1.28,1.6,47,2.52,1.93,2.21
yahoo_website,artifact,1.38,0.81,0.57,37,2.15,2.45,2.12,1.53,1.24,0.94,49,1.77,1.88,1.61
google_website,artifact,3,2.9,2.23,40,1.01,1.35,1.54,3.4,3,2.77,48,0.79,1.27,1.19
google_earth_website,artifact,2.94,2.44,2,34,1.15,1.52,1.76,2.43,2.4,1.83,42,1.48,1.48,1.72
network_firewall,artifact,1.43,1.6,0.37,35,2.13,1.38,2.03,2.26,1.79,0.71,38,1.73,1.61,1.49
webpage_not_available_error,artifact,-2.82,-0.95,-1.63,38,1.29,2.16,1.63,-3.24,-0.28,-1.31,54,0.95,2.72,2.14
spam_email,artifact,-3.39,-0.71,-0.13,38,0.86,2.3,2.34,-3.49,-0.31,-0.08,51,1.1,2.44,1.9
computer_virus,artifact,-3.58,1.48,0.78,40,0.64,2.9,2.33,-3.88,3.04,0.9,49,0.39,1.37,2.02
antivirus_computer_program,artifact,2.15,1.38,0.51,39,1.73,1.52,1.85,2.72,1.62,1.23,47,1.78,1.97,1.58
spyware,artifact,-2,1.57,0.73,37,2.81,1.98,2.36,-0.17,2.07,1.51,41,2.97,1.81,1.61
spyware_removal_programs,artifact,2.61,0.81,0.86,36,1.52,2.19,1.96,2.55,1.45,0.71,42,1.48,1.77,1.8
atm,artifact,2.48,1.3,1.18,40,1.41,1.73,1.69,3.22,1.49,1.1,49,1.03,1.95,2.3
gps,artifact,2.66,1.66,1.55,38,1.3,2,1.81,3.06,2.06,1.98,47,0.99,1.71,1.44
personal_digital_assistant,artifact,2,0.2,1.54,35,1.53,1.86,1.52,2.5,1.55,2.1,42,1.37,1.45,1.62
robot,artifact,1.16,0.97,0.84,38,1.55,1.84,1.84,1.38,1.51,1.73,45,1.76,1.39,1.74
android,artifact,0.77,1.35,1.39,31,1.75,1.38,1.63,0.5,1.42,1.5,12,1.93,0.9,1.17
biotechnology,artifact,2.32,1.71,0.97,34,1.77,1.61,2.18,2.57,2.31,1.66,35,1.42,1.35,1.75
artificial_limb,artifact,2.94,0.67,0.48,33,1.66,1.99,1.97,2.96,1.24,0.11,46,1.52,1.68,1.91
