Z000000000000  -0.21  -0.07   0.06  -0.20   0.02  -0.12  -0.09  -0.36  -0.10  -0.24   0.04  -0.14
Z100000000000   0.26   0.00   0.00   0.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z010000000000   0.00   0.39   0.00   0.00   0.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z001000000000   0.00   0.06   0.46   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z000100000000   0.39   0.00  -0.03   0.54   0.13  -0.12   0.00   0.15   0.04   0.15   0.00   0.00
Z000010000000   0.00   0.15   0.00   0.00   0.51   0.19   0.00  -0.21   0.00   0.00   0.08   0.09
Z000001000000  -0.21   0.00   0.27  -0.19   0.00   0.57   0.00   0.14   0.00   0.00   0.00   0.17
Z000000100000   0.00   0.00   0.00   0.00   0.00   0.00   0.47   0.00   0.00   0.07   0.00   0.00
Z000000010000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.47   0.00   0.00   0.08   0.00
Z000000001000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.68   0.00   0.00   0.00
Z000000000100   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.00   0.37   0.00  -0.04
Z000000000010   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.36   0.00
Z000000000001   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.04   0.05   0.00   0.41
Z100100000000   0.03   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z100001000000   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.04   0.00
Z100000000100   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.02   0.00   0.00
Z010000000010   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.04   0.00   0.00   0.00   0.00
Z010000000001   0.00   0.00   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00
Z001000000100   0.00   0.00   0.03   0.00   0.00   0.02   0.00   0.00   0.00   0.00   0.00   0.00
Z001000000001   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.03   0.00   0.00   0.00   0.00
Z000100100000   0.08   0.00   0.00   0.06   0.00   0.00   0.00   0.00   0.00   0.03   0.00   0.00
Z000100010000  -0.03   0.00   0.00   0.00   0.00   0.00   0.04   0.00   0.00   0.00   0.00   0.00
Z000010100000  -0.02   0.00   0.00   0.00   0.00   0.00   0.00  -0.11   0.00   0.00   0.00   0.00
Z000010010000   0.00   0.00   0.00   0.00   0.00   0.00  -0.08   0.13   0.00   0.00   0.00   0.00
Z000001000100   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.03   0.00   0.00   0.00   0.00
Z000001000001   0.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.03   0.03   0.00
Z000000001100   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.02   0.00   0.00   0.00
Z000000001001   0.00   0.00   0.00   0.00   0.00   0.00   0.03   0.00   0.00   0.00   0.00   0.00
Z100100000100   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.01   0.00   0.00
