Z000000000  -0.12  -0.26  -0.12  -0.12  -0.10  -0.02  -0.21   0.06   0.05
Z100000000   0.45  -0.01   0.03   0.09   0.05  -0.03   0.00  -0.04   0.00
Z010000000  -0.12   0.55   0.05  -0.03   0.08   0.07   0.06  -0.10   0.02
Z001000000   0.04   0.06   0.66   0.04   0.04   0.22   0.08   0.11   0.04
Z000100000   0.47  -0.05  -0.06   0.68  -0.03  -0.08   0.19   0.11   0.06
Z000010000  -0.02   0.54   0.22   0.13   0.61   0.16   0.01  -0.36  -0.20
Z000001000  -0.03   0.05   0.21  -0.08   0.20   0.52   0.09  -0.04   0.04
Z000000100  -0.07   0.02   0.00  -0.02   0.00  -0.03   0.52  -0.11  -0.09
Z000000010   0.09  -0.10   0.04   0.03  -0.01  -0.03  -0.08   0.56   0.10
Z000000001   0.00   0.07  -0.02   0.10   0.04  -0.02   0.05  -0.01   0.57
Z100100000   0.05   0.02   0.00   0.04   0.01   0.02   0.00   0.00   0.00
Z100001000   0.02   0.00   0.01   0.08  -0.04   0.00  -0.02   0.05  -0.01
Z100000100   0.00   0.00   0.01   0.00   0.00   0.04  -0.01   0.02   0.03
Z100000010   0.01   0.00   0.03   0.01   0.00  -0.02   0.02   0.00  -0.01
Z010100000   0.01   0.03   0.02  -0.02  -0.02   0.01  -0.03   0.02  -0.02
Z010010000   0.07  -0.02  -0.02   0.03   0.04  -0.05   0.00   0.04   0.01
Z010000010   0.12   0.01  -0.01   0.05   0.03   0.00  -0.05   0.10   0.00
Z010000001  -0.08   0.03  -0.01  -0.02   0.03   0.03   0.02  -0.04  -0.02
Z001001000  -0.07  -0.04  -0.05  -0.09  -0.05  -0.04  -0.10  -0.03   0.00
Z001000010  -0.06   0.01   0.01  -0.02   0.01   0.01   0.06   0.02  -0.02
Z001000001  -0.03   0.01  -0.01  -0.01  -0.01   0.01  -0.01   0.00   0.01
Z000100100   0.10   0.01   0.00   0.10   0.04   0.02   0.04   0.02   0.00
Z000100010  -0.09   0.02   0.04  -0.07  -0.06   0.00  -0.02  -0.01  -0.05
Z000100001   0.01  -0.03   0.01   0.01   0.00   0.02  -0.04   0.01   0.01
Z000010100  -0.04  -0.01   0.04  -0.01  -0.04   0.00  -0.03  -0.03   0.02
Z000010010  -0.04   0.03  -0.03   0.00   0.09   0.02  -0.01  -0.02   0.03
Z000010001   0.02  -0.02  -0.03  -0.07  -0.05   0.01   0.05   0.11   0.04
Z000001100   0.02  -0.01  -0.02  -0.02   0.03  -0.01   0.05   0.04  -0.03
Z000001010   0.08  -0.04   0.01   0.04  -0.11   0.02  -0.02   0.02   0.00
Z000001001   0.00   0.00   0.06   0.04   0.01  -0.03  -0.07   0.04  -0.03
Z100100100   0.00  -0.01   0.00   0.00   0.00   0.00   0.03   0.01   0.00
Z100100010   0.02  -0.01  -0.01   0.01   0.01  -0.01   0.00   0.02   0.02
Z100001100  -0.03  -0.02  -0.02  -0.02   0.02  -0.01   0.00   0.00  -0.01
Z010100001  -0.03   0.02   0.00   0.00   0.00   0.00   0.00  -0.01   0.01
Z010010010  -0.05   0.03   0.00  -0.04  -0.03   0.00   0.01  -0.05   0.01
Z010010001   0.05  -0.01  -0.01   0.02  -0.01  -0.02  -0.03   0.03   0.03
Z001100010   0.03   0.01  -0.01   0.01   0.01   0.00   0.00   0.03   0.04
Z001001001   0.01   0.00   0.00   0.03   0.01   0.02  -0.01  -0.03   0.01
