term,E,P,A,E2,P2,A2
insincere,-2.69,-1.2,-0.66,-2.69,-1.2,-0.66
intellectual,2.78,2.11,-0.3,2.78,2.11,-0.3
intelligent,3.25,2.66,0.38,3.25,2.66,0.38
interested,2.63,1.45,1.04,2.63,1.45,1.04
intimidated,-2.53,-2.09,-0.41,-2.53,-2.09,-0.41
intolerant,-2.19,-0.86,0.47,-2.19,-0.86,0.47
intoxicated,-1.13,-1.41,1.29,-1.13,-1.41,1.29
introspective,2.05,0.75,-2.08,2.05,0.75,-2.08
introverted,0.25,-0.83,-2.15,0.25,-0.83,-2.15
irate,-2.29,-0.3,1.75,-2.29,-0.3,1.75
irked,-1.61,-1.08,0.08,-1.61,-1.08,0.08
irrational,-2.52,-1,1.13,-2.52,-1,1.13
irritable,-2.14,-1.02,0.97,-2.14,-1.02,0.97
irritated,-2.16,-1.24,0.83,-2.16,-1.24,0.83
irritating,-2.54,-0.53,1.8,-2.54,-0.53,1.8
jealous,-2.26,-1.84,0.03,-2.26,-1.84,0.03
jittery,-1.63,-1.25,1.58,-1.63,-1.25,1.58
joyful,3.28,2.25,1.62,3.28,2.25,1.62
joyless,-2.52,-2.14,-2.19,-2.52,-2.14,-2.19
jubilant,2.85,1.85,2.07,2.85,1.85,2.07
kind,3.47,2.53,0.02,3.47,2.53,0.02
kindly,3.21,2.08,0.18,3.21,2.08,0.18
knowledgeable,3.23,2.62,0.01,3.23,2.62,0.01
lazy,-2.15,-2.23,-3.08,-2.15,-2.23,-3.08
lenient,1.19,0.53,-0.99,1.19,0.53,-0.99
light_hearted,2.24,0.7,0.2,2.24,0.7,0.2
lively,2.3,1.76,2.71,2.3,1.76,2.71
lonely,-2.38,-2.22,-2.54,-2.38,-2.22,-2.54
lonesome,-2.41,-2.06,-2.43,-2.41,-2.06,-2.43
lost,-2.45,-2.25,-0.39,-2.45,-2.25,-0.39
loved,3.57,2.86,0.28,3.57,2.86,0.28
lovesick,-1.2,-1.35,-1.12,-1.2,-1.35,-1.12
low,-2.41,-2.17,-2.43,-2.41,-2.17,-2.43
lower_class,-1.37,-2.2,-0.69,-1.37,-2.2,-0.69
loyal,3.08,2.11,-0.06,3.08,2.11,-0.06
lucky,2.82,1.38,0.53,2.82,1.38,0.53
lustful,-0.08,0.2,0.74,-0.08,0.2,0.74
mad,-1.77,-0.28,1.6,-1.77,-0.28,1.6
male,1.5,1.41,1.37,1.5,1.41,1.37
malicious,-3.17,0.49,1.15,-3.17,0.49,1.15
maniacal,-2.65,0.61,2.63,-2.65,0.61,2.63
manic,-1.9,-0.53,2.3,-1.9,-0.53,2.3
manipulative,-2.74,0.71,0.55,-2.74,0.71,0.55
married,1.64,0.99,0.65,1.64,0.99,0.65
masculine,1.18,1.93,1.43,1.18,1.93,1.43
mature,2.81,1.94,-0.68,2.81,1.94,-0.68
mean,-3.2,0.2,1.51,-3.2,0.2,1.51
mediocre,-1.22,-1.61,-1.36,-1.22,-1.61,-1.36
meek,-0.37,-2.12,-2.41,-0.37,-2.12,-2.41
melancholic,-1.76,-1.88,-2.54,-1.76,-1.88,-2.54
melancholy,-1.18,-1.56,-2.28,-1.18,-1.56,-2.28
mentally_ill,-2.04,-2.08,-0.43,-2.04,-2.08,-0.43
mentally_retarded,-1.78,-2.05,-1.16,-1.78,-2.05,-1.16
merry,2.79,1.52,1.9,2.79,1.52,1.9
messy,-1.58,-0.79,-0.03,-1.58,-0.79,-0.03
methodical,1.95,1.42,-1.01,1.95,1.42,-1.01
middle_aged,0.73,0.36,-0.5,0.73,0.36,-0.5
middle_class,1.42,0.35,0.51,1.42,0.35,0.51
mischievous,-1.07,0.34,1.14,-1.07,0.34,1.14
miserable,-3.05,-1.94,-1.63,-3.05,-1.94,-1.63
miserly,-1.68,-1.06,-1.21,-1.68,-1.06,-1.21
mocking,-2.6,-0.51,1.39,-2.6,-0.51,1.39
model,1.72,1.26,0.56,1.72,1.26,0.56
modern,1.43,0.98,1.47,1.43,0.98,1.47
modest,2.26,0.67,-1.28,2.26,0.67,-1.28
moody,-1.75,-1.23,-0.16,-1.75,-1.23,-0.16
mortified,-2.5,-1.82,-0.4,-2.5,-1.82,-0.4
motivated,3.15,2.49,2.06,3.15,2.49,2.06
mournful,-1.18,-1.16,-1.85,-1.18,-1.16,-1.85
moved,2.44,1.67,0.31,2.44,1.67,0.31
naive,-1.3,-1.84,-1.14,-1.3,-1.84,-1.14
narrowminded,-2.85,-2.14,-1.14,-2.85,-2.14,-1.14
nasty,-3.13,-0.36,1.4,-3.13,-0.36,1.4
nauseated,-2.92,-1.58,-0.76,-2.92,-1.58,-0.76
neighborly,2.81,1.39,0.63,2.81,1.39,0.63
nervous,-1.58,-1.28,0.12,-1.58,-1.28,0.12
neurotic,-1.89,-1.36,1.32,-1.89,-1.36,1.32
nice,3.36,1.92,0.34,3.36,1.92,0.34
no_emotion,-1.82,-1.28,-2.34,-1.82,-1.28,-2.34
noble,2.8,1.9,0.19,2.8,1.9,0.19
noisy,-0.79,0.87,2.99,-0.79,0.87,2.99
nonchalant,0.64,0.01,-1.77,0.64,0.01,-1.77
nosey,-1.95,-0.52,0.58,-1.95,-0.52,0.58
nostalgic,1.64,0.49,-1.22,1.64,0.49,-1.22
obedient,0.88,-0.71,-0.85,0.88,-0.71,-0.85
obligated,-0.58,-0.88,-0.13,-0.58,-0.88,-0.13
oblivious,-2.04,-1.89,-1.39,-2.04,-1.89,-1.39
obnoxious,-2.61,-0.34,2.11,-2.61,-0.34,2.11
obsessive_compulsive,-1.89,-1.15,1.2,-1.89,-1.15,1.2
obstinate,-1.12,0.5,-0.27,-1.12,0.5,-0.27
odd,0.72,-0.06,0.23,0.72,-0.06,0.23
offended,-2.02,-1.17,0.24,-2.02,-1.17,0.24
offensive,-2.57,0.11,2.1,-2.57,0.11,2.1
old,-0.42,-1.11,-1.81,-0.42,-1.11,-1.81
old_fashioned,0.86,0.02,-1.28,0.86,0.02,-1.28
open,2.08,1.42,0.47,2.08,1.42,0.47
open_minded,2.95,2.16,0.08,2.95,2.16,0.08
opportunistic,1.16,1.5,1.81,1.16,1.5,1.81
optimistic,2.83,1.85,0.63,2.83,1.85,0.63
ordinary,0.25,-0.78,-0.87,0.25,-0.78,-0.87
organized,2.83,1.8,0.15,2.83,1.8,0.15
original,2.9,2.15,1.22,2.9,2.15,1.22
ostentatious,-1.02,0.42,1.56,-1.02,0.42,1.56
outgoing,1.86,1.75,2.32,1.86,1.75,2.32
outrage,-1.56,0.41,2.08,-1.56,0.41,2.08
outraged,-1.73,0.48,2.26,-1.73,0.48,2.26
outspoken,1.06,1.59,2.05,1.06,1.59,2.05
overbearing,-2.2,1.35,1.72,-2.2,1.35,1.72
overconfident,-1.09,0.63,1.5,-1.09,0.63,1.5
overjoyed,3.03,2.05,2.07,3.03,2.05,2.07
overwhelmed,-2.25,-1.28,0.63,-2.25,-1.28,0.63
panicked,-2.73,-1.76,1.67,-2.73,-1.76,1.67
paranoid,-2.33,-1.86,0.36,-2.33,-1.86,0.36
passionate,2.76,2.16,1.56,2.76,2.16,1.56
passive,-0.56,-1.63,-2.34,-0.56,-1.63,-2.34
patient,2.96,1.25,-2.13,2.96,1.25,-2.13
peaceful,3.19,1.58,-1.96,3.19,1.58,-1.96
peeved,-1.84,-0.91,0.14,-1.84,-0.91,0.14
pensive,0.52,-0.34,-1.72,0.52,-0.34,-1.72
perceptive,2.8,1.86,-0.5,2.8,1.86,-0.5
permissive,-0.05,-0.56,-0.84,-0.05,-0.56,-0.84
persecuted,-3.14,-1.4,1.07,-3.14,-1.4,1.07
persistent,1.98,1.66,2.03,1.98,1.66,2.03
persuasive,1.65,1.98,1.35,1.65,1.98,1.35
pessimistic,-2.12,-1.31,-1.07,-2.12,-1.31,-1.07
petrified,-2.8,-2.33,-1.25,-2.8,-2.33,-1.25
petty,-2.07,-1.47,-0.07,-2.07,-1.47,-0.07
phobic,-2.19,-1.93,-0.18,-2.19,-1.93,-0.18
pitiful,-2.19,-2.27,-1.69,-2.19,-2.27,-1.69
placid,0.33,-0.65,-2.33,0.33,-0.65,-2.33
plain,-0.2,-0.96,-1.45,-0.2,-0.96,-1.45
playful,2.35,1.08,2.1,2.35,1.08,2.1
pleased,3.11,1.82,-0.37,3.11,1.82,-0.37
poised,2.31,1.52,-0.79,2.31,1.52,-0.79
polite,3.11,1.63,-0.58,3.11,1.63,-0.58
pompous,-2.25,-0.05,1.76,-2.25,-0.05,1.76
poor,-2.32,-2.72,-1.24,-2.32,-2.72,-1.24
popular,1.58,1.94,1.88,1.58,1.94,1.88
possessive,-1.73,0.04,0.78,-1.73,0.04,0.78
powerful,1.98,3.49,1.79,1.98,3.49,1.79
powerless,-2.86,-3.4,-2.07,-2.86,-3.4,-2.07
practical,2.5,1.41,-0.2,2.5,1.41,-0.2
prejudiced,-3.03,-0.74,0.58,-3.03,-0.74,0.58
preoccupied,-0.8,-0.58,-0.36,-0.8,-0.58,-0.36
presumptuous,-1.42,-0.2,0.72,-1.42,-0.2,0.72
pretty,2.27,1.5,0.19,2.27,1.5,0.19
principled,2.64,1.75,0.12,2.64,1.75,0.12
promiscuous,-1.44,-0.16,1.39,-1.44,-0.16,1.39
proud,2.41,2.08,0.73,2.41,2.08,0.73
provocative,0.23,1.01,1.57,0.23,1.01,1.57
psychotic,-3.03,-0.51,2.06,-3.03,-0.51,2.06
quarrelsome,-2.23,-0.15,2.07,-2.23,-0.15,2.07
quiet,1,-0.53,-3.13,1,-0.53,-3.13
rational,2.87,1.85,-0.28,2.87,1.85,-0.28
raunchy,-1.4,-0.01,1.56,-1.4,-0.01,1.56
reasonable,3.07,1.89,-0.15,3.07,1.89,-0.15
rebellious,-0.3,1.01,2.13,-0.3,1.01,2.13
reckless,-2.32,0.01,2.31,-2.32,0.01,2.31
reclusive,-0.91,-1.47,-2.31,-0.91,-1.47,-2.31
refined,2.11,1.34,-0.84,2.11,1.34,-0.84
regretful,-1.38,-1.44,-1.63,-1.38,-1.44,-1.63
rejected,-2.64,-1.28,-0.15,-2.64,-1.28,-0.15
relaxed,2.92,0.65,-2.71,2.92,0.65,-2.71
relentless,0.3,1.54,1.95,0.3,1.54,1.95
reliable,3.31,2.32,0.84,3.31,2.32,0.84
relieved,2.74,1.45,-0.77,2.74,1.45,-0.77
religious,0.45,0.35,-0.04,0.45,0.35,-0.04
remorseful,0.39,-0.31,-1.55,0.39,-0.31,-1.55
repentant,1.16,-0.01,-0.82,1.16,-0.01,-0.82
resentful,-2.33,-1.2,-0.92,-2.33,-1.2,-0.92
reserved,1,-0.11,-2.16,1,-0.11,-2.16
resigned,-0.7,-1.32,-1.49,-0.7,-1.32,-1.49
resourceful,3.12,2.33,1.19,3.12,2.33,1.19
respectful,3.12,2.05,-0.81,3.12,2.05,-0.81
responsible,3.11,2.24,0.73,3.11,2.24,0.73
restless,-1.19,-0.66,1.01,-1.19,-0.66,1.01
revengeful,-2.38,0.35,1.22,-2.38,0.35,1.22
reverent,1.45,0.58,-0.8,1.45,0.58,-0.8
rich,1.91,2.57,1.25,1.91,2.57,1.25
rigid,-1.29,-0.4,-0.65,-1.29,-0.4,-0.65
romantic,2.72,1.82,0.36,2.72,1.82,0.36
rude,-2.93,-0.51,1.74,-2.93,-0.51,1.74
rueful,-0.76,-0.44,-0.61,-0.76,-0.44,-0.61
ruthless,-2.05,1.51,1.56,-2.05,1.51,1.56
sad,-2.19,-1.76,-2.11,-2.19,-1.76,-2.11
sadistic,-3.08,0.41,0.91,-3.08,0.41,0.91
saintly,2.79,1.71,-0.55,2.79,1.71,-0.55
sarcastic,-0.5,0.24,1.16,-0.5,0.24,1.16
satisfied,3.05,1.97,-0.53,3.05,1.97,-0.53
scared,-2.04,-1.93,-0.1,-2.04,-1.93,-0.1
scornful,-2.27,-0.54,0.7,-2.27,-0.54,0.7
secretive,-0.5,0.46,-1.79,-0.5,0.46,-1.79
secure,3.04,2.34,-0.32,3.04,2.34,-0.32
self_assured,2.83,2.14,0.35,2.83,2.14,0.35
self_centered,-2.5,-0.4,0.66,-2.5,-0.4,0.66
self_confident,2.94,2.63,0.75,2.94,2.63,0.75
self_conscious,-1.47,-1.67,-1.32,-1.47,-1.67,-1.32
self_disciplined,3.02,2.31,-0.49,3.02,2.31,-0.49
self_pitying,-2.33,-2.17,-1.77,-2.33,-2.17,-1.77
self_righteous,-1.23,0.31,1.07,-1.23,0.31,1.07
self_sacrificing,2.24,1.91,-0.15,2.24,1.91,-0.15
self_satisfied,2.49,2.05,-0.04,2.49,2.05,-0.04
selfish,-2.46,-0.58,0.35,-2.46,-0.58,0.35
sensitive,1.43,-0.17,-1.34,1.43,-0.17,-1.34
sensuous,1.86,1.44,0.08,1.86,1.44,0.08
sentimental,1.78,0.44,-1.39,1.78,0.44,-1.39
serene,3.02,1.53,-2.29,3.02,1.53,-2.29
serious,1.45,1.13,-0.81,1.45,1.13,-0.81
sexy,1.97,2.05,0.91,1.97,2.05,0.91
shaken,-2.32,-1.72,0.31,-2.32,-1.72,0.31
shallow,-2.34,-1.45,-0.2,-2.34,-1.45,-0.2
