term,E,P,A,E2,P2,A2
brother_in_law,1.28,0.54,0.41,1.28,0.54,0.41
brunette,0.94,0.34,0.31,0.94,0.34,0.31
brute,-2.12,2.1,1.5,-2.12,2.1,1.5
buddy,2.82,1.4,0.9,2.82,1.4,0.9
buffoon,-1.99,-1.56,0.43,-1.99,-1.56,0.43
building_contractor,1.41,1.46,1.66,1.41,1.46,1.66
bulldozer_operator,1.09,1.28,1.8,1.09,1.28,1.8
bully,-3.36,0.87,2.63,-3.36,0.87,2.63
bum,-1.3,-2.52,-1.75,-1.3,-2.52,-1.75
bureaucrat,-1.12,1.15,0.1,-1.12,1.15,0.1
burglar,-3.29,0.7,0.62,-3.29,0.7,0.62
bus_driver,1.36,0.3,0.77,1.36,0.3,0.77
busboy,1.12,-1.28,1.67,1.12,-1.28,1.67
businessman,0.93,1.48,1.51,0.93,1.48,1.51
businesswoman,1.94,1.93,1.73,1.94,1.93,1.73
busybody,-0.79,0.11,2.4,-0.79,0.11,2.4
butcher,1.03,0.91,1.36,1.03,0.91,1.36
bystander,0.44,-1.1,-1.4,0.44,-1.1,-1.4
cabinet_maker,1.63,0.56,1.16,1.63,0.56,1.16
cabinet_member,0.71,2.28,0.72,0.71,2.28,0.72
cad,-2.01,-0.69,0.86,-2.01,-0.69,0.86
call_girl,-1.3,-0.77,1.63,-1.3,-0.77,1.63
capitalist,0.46,1.55,1.63,0.46,1.55,1.63
captive,-1.41,-2.73,-1.59,-1.41,-2.73,-1.59
carpenter,1.69,1.26,2.03,1.69,1.26,2.03
cashier,1.45,-0.5,1.28,1.45,-0.5,1.28
casual_laborer,1.03,-0.7,0.85,1.03,-0.7,0.85
celebrity,0.4,1.9,1.94,0.4,1.9,1.94
cement_worker,1.3,0.87,1.56,1.3,0.87,1.56
censor,-1.54,1.42,0.25,-1.54,1.42,0.25
chain_smoker,-2.46,-1.91,-0.02,-2.46,-1.91,-0.02
chairman,1,2.35,1.4,1,2.35,1.4
chairman_of_the_board,0.69,2.9,1.6,0.69,2.9,1.6
chairperson,0.85,2.13,0.74,0.85,2.13,0.74
chairwoman,1.53,2.31,1.26,1.53,2.31,1.26
chambermaid,0.93,-0.98,0.53,0.93,-0.98,0.53
champion,2.54,2.53,2.11,2.54,2.53,2.11
chap,1.12,0.27,0.27,1.12,0.27,0.27
chaperone,1.75,1.31,0.25,1.75,1.31,0.25
chaplain,1.59,0.92,-0.35,1.59,0.92,-0.35
chatterbox,-0.52,-0.07,2.95,-0.52,-0.07,2.95
chauffeur,1.37,-0.28,-0.23,1.37,-0.28,-0.23
cheat,-2.98,-0.74,0.31,-2.98,-0.74,0.31
cheerleader,1.23,0.35,2.79,1.23,0.35,2.79
chef,1.98,1.49,2.26,1.98,1.49,2.26
chemical_engineer,1.89,1.49,0.12,1.89,1.49,0.12
chemist,1.64,1.34,0.26,1.64,1.34,0.26
chief_operations_officer,1.07,2.55,1.77,1.07,2.55,1.77
child,2.21,-1.68,2.39,2.21,-1.68,2.39
child_molester,-3.88,-0.11,0.19,-3.88,-0.11,0.19
chiropractor,1.62,1.08,0.41,1.62,1.08,0.41
choreographer,1.55,1.34,2.35,1.55,1.34,2.35
chronically_ill_person,-0.84,-2.4,-2.27,-0.84,-2.4,-2.27
chum,1.79,0.31,0.26,1.79,0.31,0.26
church_deacon,1.43,1.04,0.05,1.43,1.04,0.05
citizen,1.28,0.07,0.42,1.28,0.07,0.42
city_councilor,0.94,1.44,0.84,0.94,1.44,0.84
civil_engineer,1.79,1.29,0.56,1.79,1.29,0.56
civil_servant,1.27,0.15,0.22,1.27,0.15,0.22
classmate,0.9,0.09,0.2,0.9,0.09,0.2
cleaning_woman,1.67,-0.5,1.32,1.67,-0.5,1.32
clergy,1.17,1.29,0.02,1.17,1.29,0.02
clerical_worker,1.23,-0.45,0.25,1.23,-0.45,0.25
clerk,1.04,-0.44,0.57,1.04,-0.44,0.57
client,1.68,0.86,0.48,1.68,0.86,0.48
clod,-1.13,-1.17,-0.74,-1.13,-1.17,-0.74
clown,0.68,-0.13,2.32,0.68,-0.13,2.32
co_worker,1.14,0.13,0.7,1.14,0.13,0.7
coach,1.98,2.35,2.44,1.98,2.35,2.44
coal_miner,1.4,0.28,1.59,1.4,0.28,1.59
collaborator,1.3,1.14,1,1.3,1.14,1
colleague,1.51,0.42,0.46,1.51,0.42,0.46
college_student,1.23,-0.3,1.54,1.23,-0.3,1.54
comedian,2.1,1.14,2.51,2.1,1.14,2.51
commentator,1.08,1.06,2,1.08,1.06,2
commissioned_officer,1.66,2.13,1.29,1.66,2.13,1.29
commissioner,0.85,1.99,0.97,0.85,1.99,0.97
communist,-1.45,0.23,0.82,-1.45,0.23,0.82
companion,2.68,1.1,0.31,2.68,1.1,0.31
competitor,0.68,1.3,1.69,0.68,1.3,1.69
computer_programmer,1.74,1.3,0.24,1.74,1.3,0.24
computer_security_specialist,1.9,1.41,-0.08,1.9,1.41,-0.08
computer_support_specialist,1.78,1.02,0.57,1.78,1.02,0.57
con_artist,-3.11,0.87,1,-3.11,0.87,1
confidant,2.39,1.42,-0.68,2.39,1.42,-0.68
conformist,-1.07,-1.71,-1.36,-1.07,-1.71,-1.36
connoisseur,1.7,1.06,0.26,1.7,1.06,0.26
conservative,-0.09,0.61,0.07,-0.09,0.61,0.07
conspiracy_theorist,-0.77,-0.84,1.28,-0.77,-0.84,1.28
construction_contractor,1.03,1.51,1.65,1.03,1.51,1.65
construction_foreman,1.52,2.08,2.2,1.52,2.08,2.2
