petty,-1.6264,-1.2088,0.4206,4.4738,4.9442,3.1317
dependable,3.4147,3.0323,-0.1882,1.0895,1.4951,1.9723
cautious,2.1177,1.3765,-1.3941,1.4679,2.7800,2.1671
courteous,3.5273,2.8697,-0.1455,0.6213,1.0343,2.6517
homesick,-1.6089,-0.0118,-1.2706,2.8525,5.1977,2.4433
sociable,2.9235,2.6059,2.4765,0.8882,1.1176,0.8994
extravagant,0.5382,1.4353,1.9147,2.6100,2.0358,3.0688
sadistic,-2.2407,1.1656,0.3219,4.8130,4.9179,3.5062
talkative,0.6088,0.7912,2.5441,2.4020,2.3843,2.0160
gourmet,1.7634,1.3300,0.0967,1.7070,1.2721,2.1164
weak,-2.1235,-3.1500,-1.7883,2.2617,1.0202,2.9034
hesitant,-0.4281,-0.8500,-1.9125,1.7170,3.5700,1.6073
introverted,0.3419,-0.5452,-1.6581,2.2599,1.6761,2.9301
violent,-3.0656,1.1312,2.5563,1.6579,5.1522,2.2281
wild,0.0438,1.1625,2.7563,1.1450,1.3348,1.0618
psychotic,-2.1344,-0.5688,1.4594,1.1985,2.9066,2.6893
deflated,-2.2710,-1.5678,-1.8323,0.9266,3.4365,1.7796
confident,2.9156,2.9969,0.8500,1.2039,1.3284,2.2706
low,-2.4291,-1.2355,-2.1452,2.0820,5.1616,1.6348
dumb,-2.0781,-2.2719,-0.9594,1.4979,2.2258,3.9656
secretive,-0.2687,0.8468,-2.1125,1.0141,1.5181,2.0343
attractive,2.3375,2.2000,0.4938,1.1873,2.0757,2.5076
antisocial,-1.6157,-1.8344,-2.6906,2.0807,2.0647,1.7496
quiet,0.8500,0.3094,-3.0031,1.7907,2.2402,2.9491
broad-minded,2.4719,2.2782,-0.1094,1.5807,1.3280,3.0809
independent,2.8157,2.7812,0.2781,1.0501,1.8028,2.8354
ambitious,2.7188,2.7500,1.3156,2.0033,1.9081,2.9102
afraid,-1.6750,-0.9375,-0.6250,2.7888,6.5075,3.9606
adventurous,2.4937,2.3219,1.9906,0.9369,1.2586,1.3515
gullible,-1.6500,-1.5657,-0.5688,1.4057,2.4073,2.9177
outraged,-1.4594,0.2531,2.2844,1.6305,3.6688,1.8982
young,2.4250,0.7125,2.4094,1.7819,4.9605,1.5091
ashamed,-2.2500,-0.3625,-1.5375,1.8331,6.2568,2.9043
hardworking,3.1719,2.8844,0.4031,1.7715,3.2331,3.3685
cheerful,2.9907,2.0531,1.8031,1.4733,2.9238,1.4610
nostalgic,1.0862,1.0862,-1.5897,3.1226,2.2108,2.0252
humane,3.0434,2.7200,-0.6701,1.7831,1.7436,2.1708
disheartened,-2.3656,-0.4063,-1.1906,1.3836,4.8981,2.7104
ungrateful,-3.0563,-1.2844,0.4844,1.1531,3.8726,3.1832
mentally retarded,-0.7263,-1.3369,-0.6816,1.2062,2.2740,1.6345
communicative,2.5974,2.5282,1.0487,1.9033,1.8563,2.7271
scornful,-2.1473,0.0861,0.8000,1.2319,3.2101,2.4734
imaginative,2.6974,2.5872,0.0257,0.7972,1.5309,3.7845
ugly,-1.3816,-1.0000,-0.7105,1.7252,2.4701,2.6631
shallow,-2.1282,-1.3564,0.4513,1.9231,3.0415,2.7648
grumpy,-2.0846,-0.2949,-0.0051,1.1013,2.9605,2.4216
lost,-2.2385,-1.5872,0.4717,2.0403,3.3564,3.9210
cool,1.3769,1.2872,0.4205,2.0151,2.0682,2.3432
broken-hearted,-2.9898,-0.0026,-1.5052,2.0019,8.7339,3.7204
petrified,-2.9131,-0.8579,0.4500,1.1106,7.4577,5.4704
abusive,-3.7026,0.9308,1.8949,0.6858,8.6014,2.9122
authoritarian,-0.9629,2.1743,1.6972,3.0978,3.3482,1.9333
wholesome,2.6487,1.4872,-0.4154,1.1399,2.3565,2.4034
awkward,-0.6026,-0.9256,-1.1769,1.6865,1.9901,2.1685
middle-class,0.9436,0.5231,0.0923,1.6174,1.3648,1.2772
candid,1.2432,1.0108,0.5000,1.7452,1.8204,1.8287
powerless,-2.7102,-3.5051,-1.8205,0.7896,3.5911,3.6632
good,3.6282,2.4436,-0.2333,0.6148,1.8424,2.0699
reliable,3.5102,2.8180,0.0872,0.6173,1.2737,2.8155
dull,-2.0421,-2.0869,-2.4947,1.1451,1.7553,1.1026
envious,-2.0846,-0.4282,-0.5769,0.8377,4.3420,2.6705
awe-struck,1.3231,0.9872,0.1718,1.9758,3.3566,3.4630
strict,-0.0308,1.3846,1.0359,1.6664,1.9900,1.6992
gregarious,0.7154,1.1731,1.4769,4.1051,2.8682,1.1210
resourceful,2.9077,2.2615,0.2154,0.9115,2.7378,1.8833
flamboyant,-0.0162,0.3903,2.1581,1.4472,2.3609,1.7856
gloomy,-2.1533,-0.9866,-2.0200,1.3772,3.1965,1.1396
indecisive,-1.6645,-1.7936,-1.3936,1.3810,2.7626,3.5819
quarrelsome,-1.9633,0.3567,2.3434,1.6210,2.3179,1.2804
tolerant,2.5033,1.8567,-0.8400,3.1396,1.8104,2.4911
average,-0.5031,-1.1906,-0.5750,1.6034,1.8302,0.9788
affected,-0.1282,0.1906,0.0438,1.5089,3.1840,0.9193
cantankerous,-1.2751,-0.0812,0.9625,1.8343,2.5364,2.7523
passive,-0.5187,-1.5406,-1.9063,2.0272,1.6181,2.3180
cooperative,2.4156,1.7844,-0.6625,1.4114,1.6520,1.6554
pompous,-1.4700,0.3433,1.3534,2.7540,2.9065,3.5358
poised,1.2968,1.2194,-1.0613,4.7119,3.2015,2.5656
fashionable,1.4594,1.0344,0.4813,1.1855,1.8936,1.0372
snowed,0.1100,0.0000,-0.4200,2.7000,2.9739,2.1247
vivacious,1.4822,1.3036,2.0072,2.1478,1.2090,1.9085
forgiving,2.8063,2.3219,-1.0781,1.4481,3.1691,1.8467
perceptive,2.3907,2.2125,-0.4468,1.5370,1.1861,2.5762
stupid,-2.2563,-2.2813,-1.1781,2.1543,3.2434,4.5760
dejected,-2.3250,-0.9143,-1.1286,1.7989,4.4227,2.1392
playful,2.2355,0.7387,1.4291,1.3314,2.0449,2.6723
raunchy,-0.8406,0.1438,1.4563,2.2130,2.4025,2.4613
furious,-1.4063,0.5563,1.6687,1.7113,4.0073,2.5103
open,1.8129,1.4871,0.3968,1.5702,2.4818,2.0345
mocking,-2.1563,0.1844,1.4594,1.4880,2.9326,0.9056
self-disciplined,2.7774,3.0775,-0.8290,2.1474,0.9908,3.7034
open-minded,2.9129,2.8258,-0.0839,1.2676,1.3967,2.4374
vain,-2.0219,-0.1781,1.0156,2.1979,3.4567,1.7556
satisfied,2.9147,2.4676,-0.3000,1.3413,1.6387,2.3795
messy,-1.9152,-1.1788,1.1819,2.2226,1.3187,3.3731
generous,3.3824,2.3412,-0.3647,0.6655,1.9465,2.3311
thrilled,2.5147,2.0177,2.3030,1.0295,1.6950,1.4721
terrified,-2.4794,-0.1470,1.5176,1.7858,7.9899,3.1409
noisy,-1.3824,-0.0824,3.2824,1.1756,3.1462,1.8103
remorseful,0.1176,0.1706,-0.9735,4.6098,4.4404,2.1420
introspective,1.3822,0.9250,-1.4393,1.4373,2.0062,3.5067
depressed,-3.2618,-1.3324,-2.4030,1.1659,7.8226,2.8509
amorous,1.4416,1.2416,0.0917,2.4490,2.2749,2.6675
overbearing,-2.0029,0.7441,1.5323,1.1186,3.8919,2.1793
efficient,2.9735,2.8176,1.0206,1.5866,1.0015,3.4258
able-bodied,3.0206,2.6265,1.2441,1.0058,1.7513,3.1954
