Pentecostal,0.4533,-0.1013,0.048,2.0209,0.2428,-1.3275,0.2428,2.3893,0.5833,-1.3275,0.5833,1.9092
angel,3.3156,2.8261,-0.8746,1.9124,1.6075,-0.1191,1.6075,2.5989,-0.4388,-0.1191,-0.4388,5.4321
merchant,0.8069,0.3928,1.3255,1.2926,0.4109,0.0948,0.4109,2.7708,0.6861,0.0948,0.6861,2.7403
carpenter,1.2414,0.6675,1.0098,1.5313,0.621,0.6049,0.621,2.4842,1.051,0.6049,1.051,2.7296
foster father,1.9466,1.6914,0.1769,2.1299,0.6279,0.3383,0.6279,2.3308,1.1153,0.3383,1.1153,2.3574
construction foreman,1.1203,1.4291,1.5253,1.9127,0.2138,0.224,0.2138,2.5938,1.4009,0.224,1.4009,2.4228
airline pilot,1.7559,2.5088,0.2969,1.6502,0.5071,0.1185,0.5071,2.0108,0.6,0.1185,0.6,3.5836
nonsmoker,2.2509,1.2698,-0.077,2.2599,0.6929,-0.1039,0.6929,2.8517,0.6019,-0.1039,0.6019,3.3936
bookworm,1.5858,0.4115,-2.4071,2.2516,0.8838,-0.5142,0.8838,4.358,0.4674,-0.5142,0.4674,1.7083
gold-digger,-2.5817,-0.4997,0.7044,1.8031,0.2301,-0.2267,0.2301,5.3308,0.4053,-0.2267,0.4053,5.0786
coach,2.0085,2.6197,2.3549,1.5804,0.9776,0.6221,0.9776,1.5181,0.9202,0.6221,0.9202,1.6473
typist,0.6796,-0.5106,0.8816,0.9547,-0.0176,0.7622,-0.0176,1.8964,0.309,0.7622,0.309,3.8823
hypocrite,-2.6878,-1.2495,1.1027,1.7189,0.6871,-0.4777,0.6871,4.1333,0.6574,-0.4777,0.6574,3.9041
victim,-0.1752,-2.5955,-1.5069,3.9645,0.1401,-0.1454,0.1401,1.8225,0.9804,-0.1454,0.9804,2.5418
host,2.1993,1.739,1.5532,1.6565,0.5105,0.8027,0.5105,1.5608,0.6378,0.8027,0.6378,2.0463
call girl,-1.1753,-0.6334,1.0699,2.6142,1.6978,-0.8391,1.6978,4.252,-0.4179,-0.8391,-0.4179,2.4847
baby,2.5238,-2.59,1.5859,3.3182,0.4217,-0.1556,0.4217,2.7432,-0.2325,-0.1556,-0.2325,5.1074
cripple,-0.054,-1.9473,-1.8642,2.0896,0.342,-0.0295,0.342,1.9832,0.8877,-0.0295,0.8877,1.7654
lady,1.8772,1.1014,0.2745,1.9683,0.9791,0.0929,0.9791,4.4879,0.7963,0.0929,0.7963,3.9004
worker,1.6321,0.4279,0.6955,1.4193,0.939,0.4651,0.939,2.8906,0.9855,0.4651,0.9855,2.4979
Australian,1.1039,0.2751,0.6393,2.136,0.9069,-0.5348,0.9069,1.2061,0.0422,-0.5348,0.0422,1.9573
web developer,1.3685,1.298,-0.9953,1.6004,0.701,-0.1449,0.701,2.4573,0.272,-0.1449,0.272,2.3801
