term,label
drvngschltchr,Driving School Teacher
economist,Economist
econresasst,economic research assistant
elecmotorrpr,Electric Motor Repairer
empldevdir,employee development director
envisci,Environmental Scientist
eventplanner,event planner
fashionmodel,Fashion Model
finanalyst,Financial analyst
fridgemachoper,refrigerating machine operator
geologist,Geologist
grocerybagger,Grocery Bagger
heavyeqoper,Heavy-Equipment Operator on a Road Construction Job
hsteacher,High School Teacher
insuractuary,Actuary for an Insurance Company
lawncaretaker,Lawn Caretaker
machmech,Machinery mechanic
mathtician,Mathematician
millwright,Millwright
mobhomeinstlr,mobile home installer
paperhanger,Paperhanger
paroleoffcr,parole officer
phlbtmst,technician drawing blood
photographer,Photographer
plasticmoldoper,Plastic mold maker
postmaster,Postmaster
privateeye,Private Detective
pubhlthanal,Public Health Analyst
pubsafetydir,public safety director
rrswitchman,Railroad Switchman
sawsharpener,Saw Sharpener
shippingclerk,Shipping Clerk
sociologist,Sociologist
solpaninstlr,solar panel installer
steampresserfac,Steam Presser in a Garment Factory
stlmillfrgoper,Forge Operator in a Steel Mill
trashhauler,Trash Hauler
travelagent,travel agent
trkdelservsuper,Supervisor of a Truck Delivery Service
tvrepairman,TV Repairman
writer,Writers
animaltrnr,Animal trainer
autoplntmgr,Manager of an Automobile Plant
autorepairman,Automobile Repairman
bankloanprocsr,Loan Processor for a Bank
billingclerk,Billing Clerk
bizsalesrep,business services sales representative
bricklayer,Bricklayer
carrntlagnt,car rental agent
carwashattnd,Carwash Attendant
casewrkraide,caseworker aide
cementfinisher,cement finisher
ceo,CEO
clthgrdrtxtmil,Cloth Grader in a Textile Mill
compprgmr,Computer programmers
crtbailiff,Court Bailiff
databasadmin,Database administrators
deepseadiver,Deep-Sea Diver
dentistasst,Dentist's Attendant
detective,Detective
dispplntoper,Disposal Plant Operator
dressmkr,Dressmaker
drillpressoper,Drill-Press Operator
elevsafeinspctr,Elevator Safety Inspector
engnrdesmgr,engineering design manager
fireman,Fireman
freightshpagnt,freight shipping agent
fshndesigner,Fashion designer
funehomedir,funeral home director
geoltech,geological technician
icerinkatndnt,attendant in an ice-skating rink
insulationinstl,Insulation Installer
journalist,Journalist
jwlrymaker,Jewelry Maker
librcirctech,library circulation technician
lifeguard,lifeguard
mailcarrier,Mail carrier
mbrcitycouncil,Member of City Council
minedirtshovlr,Dirt Shoveler in a Mine
nurseprac,Nurse Practitioner
physicist,Physicist
powplntoper,power plant operator
protrainedfrstr,Professionally Trained Forester
ptrnmkrmtlshp,Pattern Maker in a Metal Shop
rbrstmpmkr,Rubber-Stamp Maker
rrsignloper,Railroad Signal-Tower Operator
semicondasmblr,semiconductor assembler
shoeshiner,shoeshiner
steelriggerxtrc,Steel Rigger on a Construction Job
stuadminclerk,student admissions clerk
tankcrewmbr,tank crew member
taxidriver,Taxicab Driver
telephoneoper,Telephone Operator
truckdriver,Truck Driver
woodmdlmkr,Wood-Model Maker
woodwrkr,Woodworker
yrnspnrtxtlmll,Yarn Spinner in a Textile Mill
airplnmech,Airplane Mechanic
airtrfcctrlr,Air Traffic Controller
appdesigner,app designer
audiologists,Audiologists
autorprsuper,Supervisor in a Auto Repair Shop
autorprwomn,Automobile Repairwoman
banker,Banker
boxfldmachoper,Box-Folding-Machine Operator
butcher,Butcher
cabinetmkr,Cabinet Maker
chemist,Chemist
cinematogrphr,cinematographer
compscientist,Computer Scientist
compsysanal,Computer systems analysts
constrctnmgr,Construction managers
correctoffsuper,corrections officers supervisor
d2dsalesman,Door-to-Door Salesman
dieselmech,Diesel Motor Mechanic
drawbrdgeoper,Drawbridge Tender
electechn,Electrical Technician
fastfoodwrkr,Fast food worker
freightchkr,Freight Checker
gardener,Gardener
hazmatremov,hazardous materials removal worker
htslngmchoper,Heat-Sealing-Machine Operator
inctaxprep,Income-Tax Preparer
locomoeng,Locomotive Engineer
machoperinfac,Machine Operator in a Factory
marineeng,Marine Engineer
medreclibhosp,Medical-Record Librarian in a Hospital
migrantwrkr,Migrant Worker
mineroofbolt,roof bolter in mine
minesandflloper,sandfill operator in a mine
mldngmachoper,molding machine operator
motelchnmgr,Manager for a Motel Chain
mrktresanal,Market Research analyst
natbirthincinst,Natural Childbirth and Infant Care Instructor
occtherapist,Occupational therapists
painttstrinplnt,Paint Tester in a Paint Manufacturing Plant
payrollclrk,Payroll Clerk
pharmacist,Pharmacists
physicasst,Physician assistants
podiatrist,Podiatrist
policeman,Policeman
prisonguard,Prison Guard
reporter,Reporter
sailor,Sailor
socialworker,Social Worker
socsecadmin,Social Security Administrator
spotlightoper,spotlight operator
stenographer,Stenographer
stlmlblstfurnhl,Blast Furnace Helper in a Steel Mill
teleinstlr,Telephone Installer
tooldiemkr,Tool and Die Maker
txtilewrkr,Textile worker
welfareintrvwr,Welfare Interviewer
actress,actress
airlinerefueler,airline refueler
airticketagnt,Airline Ticket Agent
animaltrapper,Animal Trapper
bankexaminer,bank examiner
boilermaker,Boilermaker
bookkeeper,Bookkeeper
bridgeironwrkr,bridge ironworker
btlwshmchoper,Bottle-Washing-Machine Operator
casinomgr,casino manager
casinoslotsuper,casino slot supervisor
childcarewrkr,Childcare workers
coalhauloper,coal hauler operator
combmchtloper,combination machine tool operator
compoper,Computer operator
custservrep,Customer service representatives
cutmachoper,Cutting Machine Operator
dataentryclrk,Data Entry Clerk
diettech,dietary technician
draftsman,Draftsman
dsktpbldr,Desktop publisher
eqppurchagnt,equipment purchasing agent
filmeditor,film editor
flourmiller,Flour Miller
frgnlangtrans,Foreign Language Translator
guidedogtrnr,guidedog trainer
headcook,Head cook
homehlthaide,Home health aides
housepainter,House Painter
importer,Importer
insurclaimadj,Insurance Claims adjuster
insursalesuper,insurance sales supervisor
libraryasst,Library assistant
lumberjack,Lumberjack
machattndfac,Machine Attendant in a Factory
manicurist,manicurist
mechhelper,Mechanic's Helper
metermaid,meter maid
miningeng,Mining Engineer
mrktrsrchintr,market research interviewer
nuketech,nuclear technician
nutroaster,Nut Roaster
pdcmpgnstffr,Paid Campaign Staff Member
photogdevel,Photograph Developer
proathlete,Professional Athlete
rabbi,Rabbi
regmgrbusco,Regional Manager for a Bus Company
resthostess,restaurant hostess
rugmgrcrptcutr,Carpet Cutter for a Rug Manufacturer
sewer,Sewer
sewingmachoper,Sewing Machine Operator
sewmachassmblr,Sewing Machine Assembler
shrtordrcook,Short-Order Cook
taxcollector,Tax Collector
tblclrrrest,table clearer in a restaurant
typesetter,Typesetter
aerobicsinstr,aerobics instructor
aircraftriveter,aircraft riveter
airlinepilot,Airline Pilot
airstewardess,Airline Stewardess
architect,Architect
armycorporal,Army Corporal
armyenlistman,Enlisted Man in the Army
auctioneer,Auctioneer
autoprtsclerk,Counter Clerk in a Auto Parts Store
backhoeoper,backhoe operator
baker,Baker
bellboy,bell boy
bulldozermech,bulldozer mechanic
comphrdwreng,computer hardware engineer
compneteng,computer network engineer
correspclerk,Correspondence Clerk
dairytech,dairy technologist
envelopestuffer,Envelope Stuffer
envicompinspct,environmental compliance inspector
farmforeman,Farm Foreman
firedeptlt,Fire Department Lieutenant
forestersaide,Forester's Aide
genmgrrestrnt,Restaurant General Manager
hrmanager,human resources manager
insurclaimsclrk,Insurance claims clerk
