term,E,P,A,E2,P2,A2
undergraduate,1.65,-0.01,1.2,1.65,-0.01,1.2
undertaker,0.18,0.75,-0.65,0.18,0.75,-0.65
unemployed_person,-0.59,-1.74,-1.07,-0.59,-1.74,-1.07
union_member,0.74,0.74,1.13,0.74,0.74,1.13
university_student,1.71,0.78,1.5,1.71,0.78,1.5
unwanted_child,-1.91,-1.91,-0.62,-1.91,-1.91,-0.62
unwed_father,-0.18,0.13,-0.01,-0.18,0.13,-0.01
unwed_mother,-0.04,0.33,0.39,-0.04,0.33,0.39
unwed_parent,-0.22,0.1,0.22,-0.22,0.1,0.22
usher,1.5,0.77,-0.51,1.5,0.77,-0.51
vagrant,-1.4,-1.51,-0.22,-1.4,-1.51,-0.22
vandal,-2.2,-0.25,0.65,-2.2,-0.25,0.65
veterinarian,2.78,1.92,0.01,2.78,1.92,0.01
victim,-0.16,-2.57,-1.5,-0.16,-2.57,-1.5
vigilante,-0.05,1.29,1.38,-0.05,1.29,1.38
villain,-3.15,1.96,1.38,-3.15,1.96,1.38
vip,1.01,2.31,1.48,1.01,2.31,1.48
virgin,1.74,1.08,-0.84,1.74,1.08,-0.84
visitor,1.23,-0.1,0.01,1.23,-0.1,0.01
voter,1.87,1.7,0.1,1.87,1.7,0.1
wage_earner,1.67,1.1,0.08,1.67,1.1,0.08
waiter,1.29,-0.2,1.31,1.29,-0.2,1.31
waitress,1.36,-0.27,1.34,1.36,-0.27,1.34
wallflower,0.13,-1.57,-2.23,0.13,-1.57,-2.23
ward_of_the_state,-0.16,-0.33,-0.01,-0.16,-0.33,-0.01
warden,0.01,2.4,0.85,0.01,2.4,0.85
watchman,1.4,1.44,-1.27,1.4,1.44,-1.27
weakling,-1.36,-2.79,-1.95,-1.36,-2.79,-1.95
web_developer,1.39,1.32,-1.01,1.39,1.32,-1.01
weirdo,-0.59,-0.78,-0.04,-0.59,-0.78,-0.04
welder,0.9,0.54,0.88,0.9,0.54,0.88
welfare_recipient,-0.49,-1.83,-0.84,-0.49,-1.83,-0.84
white_collar_worker,1.17,1.44,0.48,1.17,1.44,0.48
white_man,0.83,1.66,0.53,0.83,1.66,0.53
white_supremacist,-3.27,0.03,1.26,-3.27,0.03,1.26
white_woman,0.9,0.81,0.19,0.9,0.81,0.19
wholesaler,0.89,1.14,0.63,0.89,1.14,0.63
whore,-1.85,-1.53,1.3,-1.85,-1.53,1.3
widow,-0.03,-0.67,-1.31,-0.03,-0.67,-1.31
widower,-0.33,-1,-1.51,-0.33,-1,-1.51
wife,2.69,2.28,1.1,2.69,2.28,1.1
wife_abuser,-4.02,0.53,1.66,-4.02,0.53,1.66
windbag,-0.6,-0.44,0.97,-0.6,-0.44,0.97
winner,2.74,2.91,2.16,2.74,2.91,2.16
witness,1.42,1.78,-0.15,1.42,1.78,-0.15
woman,1.67,1.03,0.58,1.67,1.03,0.58
womanizer,-1.86,0.84,1.71,-1.86,0.84,1.71
worker,1.61,0.41,0.67,1.61,0.41,0.67
writer,1.65,2.13,-1.15,1.65,2.13,-1.15
youngster,1.1,-0.91,2.2,1.1,-0.91,2.2
