pacify,0.9116,1.2466,-0.7084,4.5958,3.0639,-1.1584,3.0639,3.6384,-0.4968,-1.1584,-0.4968,3.1073
wheedle,-1.2643,0.5346,0.1370,1.2649,-0.9965,-0.2711,-0.9965,2.9931,1.7038,-0.2711,1.7038,2.8679
hurt,-3.3318,1.3705,0.8512,0.9956,-0.3575,0.1390,-0.3575,6.3936,1.1052,0.1390,1.1052,5.4511
commend,2.2254,1.9557,0.4064,2.3288,0.9015,0.2991,0.9015,2.1449,0.8844,0.2991,0.8844,3.0267
punch,-2.6559,1.5210,2.4997,2.3194,0.4812,-0.1171,0.4812,4.7382,0.6613,-0.1171,0.6613,2.2999
pull away from,-0.8234,1.1146,-0.5912,1.3117,0.2080,0.4803,0.2080,2.1642,0.2251,0.4803,0.2251,3.4058
upset,-2.5868,1.1732,0.8783,1.6643,-0.4083,-0.2191,-0.4083,3.7013,1.7775,-0.2191,1.7775,3.4567
fire from a job,-1.2586,2.1322,0.6743,2.0037,0.2971,-0.1993,0.2971,2.9080,0.4589,-0.1993,0.4589,2.9033
hush,-0.7661,0.9465,0.1502,1.6581,0.2990,-0.2049,0.2990,1.7758,0.1845,-0.2049,0.1845,3.2487
ostracize,-2.7490,1.1026,0.6057,1.3346,0.0410,0.1692,0.0410,5.0415,0.1528,0.1692,0.1528,5.7358
astound,1.6477,1.9853,1.4032,2.0274,0.4489,0.1671,0.4489,1.8718,0.2656,0.1671,0.2656,1.8422
reproach,-0.7448,0.6514,0.6148,2.0295,0.4199,0.3445,0.4199,2.5196,0.4000,0.3445,0.4000,1.7482
identify,1.3129,1.2217,0.1451,1.4017,0.7557,0.5905,0.7557,1.5442,0.3771,0.5905,0.3771,2.1442
idolize,-0.2600,-0.1607,0.1888,3.0740,1.4179,-0.3608,1.4179,4.0504,0.9212,-0.3608,0.9212,2.9005
incarcerate,-0.5175,2.3000,0.4811,3.8900,0.0763,0.0778,0.0763,1.7053,0.0367,0.0778,0.0367,3.4207
shove,-2.5363,1.1163,1.7956,1.5084,-0.1942,-0.6398,-0.1942,3.3118,0.2191,-0.6398,0.2191,2.1999
corner,-1.7479,1.9317,1.0462,3.1189,-0.8071,-0.3554,-0.8071,2.0891,1.1519,-0.3554,1.1519,3.4595
desire,1.2298,0.8403,0.0254,2.2003,1.0987,-0.4645,1.0987,4.3044,-0.0818,-0.4645,-0.0818,3.9423
stab,-3.7285,1.9993,2.2237,1.2816,-0.2506,-0.3306,-0.2506,6.0875,2.0556,-0.3306,2.0556,4.5107
indulge,0.9200,0.9583,0.6169,2.0314,0.5878,0.1490,0.5878,1.2078,0.3619,0.1490,0.3619,0.9776
arouse,1.9935,2.0528,1.0734,1.7187,1.0269,0.7526,1.0269,2.0891,0.1833,0.7526,0.1833,3.7986
lend money to,1.6865,1.7668,-0.0715,1.9476,0.8634,0.3155,0.8634,1.7790,0.1870,0.3155,0.1870,2.6384
stroke,1.4228,0.8166,-0.9079,2.1119,0.3848,0.0455,0.3848,2.4933,0.0051,0.0455,0.0051,3.8210
scowl at,-1.9685,0.3468,-0.2024,1.4383,-0.1270,-0.1481,-0.1270,3.1576,0.9864,-0.1481,0.9864,4.0048
guide,2.7321,2.3097,-0.5364,1.4064,0.6467,-0.0040,0.6467,1.8278,-0.1216,-0.0040,-0.1216,3.0587
strangle,-3.9679,2.2604,0.4457,0.5122,-0.1777,-0.1656,-0.1777,5.3486,1.5091,-0.1656,1.5091,8.9895
giggle with,2.9622,1.8815,2.0236,0.9467,0.6144,0.6635,0.6144,1.5178,0.1883,0.6635,0.1883,2.6798
abduct,-3.7661,1.7993,1.0393,0.6859,0.0602,-0.2376,0.0602,6.2783,3.2924,-0.2376,3.2924,6.8842
cajole,-0.6009,0.6826,0.8748,2.9863,-0.6797,-1.8977,-0.6797,1.7093,0.8980,-1.8977,0.8980,1.7973
observe,0.6079,0.5697,-1.4518,1.1922,0.3306,0.0854,0.3306,1.6021,-0.1030,0.0854,-0.1030,1.5327
frighten,-1.3871,1.2043,1.4039,1.6664,-0.4490,-0.4011,-0.4490,2.7852,0.4849,-0.4011,0.4849,2.2397
haggle with,-0.3234,0.8313,1.2751,2.2914,0.6602,0.2609,0.6602,1.6646,0.8647,0.2609,0.8647,2.0360
query,0.4949,0.4688,-0.0870,1.0113,0.1705,-0.4958,0.1705,1.6620,0.1548,-0.4958,0.1548,1.1706
constrain,-1.9607,1.1877,0.3535,1.9875,0.7468,0.5660,0.7468,4.8386,-0.1623,0.5660,-0.1623,2.8924
underestimate,-1.8732,-0.7779,-0.5875,1.5342,0.7460,-0.0551,0.7460,3.5799,0.6329,-0.0551,0.6329,2.2303
order,-0.5761,1.7925,1.4397,2.5847,-0.4690,0.2003,-0.4690,2.3791,-0.1316,0.2003,-0.1316,1.5017
need,0.6839,0.1892,0.0282,3.5030,1.9528,0.0605,1.9528,4.4091,0.2086,0.0605,0.2086,2.8392
hunt for,-1.1873,1.0826,-0.0935,2.4649,0.0791,0.4755,0.0791,2.2545,0.3966,0.4755,0.3966,4.5029
alert,2.1811,2.0879,2.1121,1.2453,0.9897,0.6468,0.9897,1.8375,1.1175,0.6468,1.1175,1.8673
box,-1.0400,1.3359,2.0176,2.6678,0.3669,0.2127,0.3669,3.1821,1.0505,0.2127,1.0505,2.1316
cuddle,3.2397,1.8861,-1.4411,0.7573,0.7508,-0.2380,0.7508,2.4704,-0.2136,-0.2380,-0.2136,3.4874
adore,2.5972,1.9525,0.2793,1.4661,1.1887,0.5076,1.1887,2.9190,1.0132,0.5076,1.0132,3.7443
mortify,-2.6218,1.3407,1.0451,2.0189,-0.0167,0.0206,-0.0167,4.5599,1.7661,0.0206,1.7661,4.0335
dare,-0.5032,0.8943,1.4254,1.6600,0.3503,-0.2084,0.3503,1.6504,0.2328,-0.2084,0.2328,0.8723
reward,2.6811,2.2943,0.7532,1.0900,0.6416,0.2736,0.6416,1.1510,0.2302,0.2736,0.2302,2.4787
heckle,-1.8736,0.3420,1.8300,0.9362,0.1360,-0.6973,0.1360,3.6826,0.1911,-0.6973,0.1911,1.7097
appease,0.6255,0.6482,-0.1490,1.6555,0.2665,-0.0414,0.2665,2.5473,-0.4000,-0.0414,-0.4000,2.2802
approve of,2.0782,2.0282,-0.1618,1.7168,0.4695,0.3039,0.4695,1.2036,0.1329,0.3039,0.1329,1.8497
beat up,-3.2575,1.2811,2.1568,0.9907,0.3793,0.0531,0.3793,5.4845,2.5901,0.0531,2.5901,3.6126
tempt,-1.4236,0.8496,-0.0821,2.5360,0.6180,0.2486,0.6180,2.8972,0.2243,0.2486,0.2243,2.5441
