box,-1.0400,1.3359,2.0176,2.6133,3.1172,2.0881
cuddle,3.2397,1.8861,-1.4411,0.7437,2.4263,3.4251
adore,2.5972,1.9525,0.2793,1.4399,2.8668,3.6774
mortify,-2.6218,1.3407,1.0451,1.9822,4.4770,3.9601
dare,-0.5032,0.8943,1.4254,1.6303,1.6209,0.8567
reward,2.6811,2.2943,0.7532,1.0705,1.1304,2.4344
heckle,-1.8736,0.3420,1.8300,0.9175,3.6089,1.6755
appease,0.6255,0.6482,-0.1490,1.6231,2.4974,2.2355
approve of,2.0782,2.0282,-0.1618,1.6861,1.1821,1.8167
beat up,-3.2575,1.2811,2.1568,0.9730,5.3866,3.5481
tempt,-1.4236,0.8496,-0.0821,2.4907,2.8454,2.4986
denounce,-2.0075,0.8575,0.8132,1.8570,3.5019,2.6632
protect,3.4843,3.1296,0.8261,0.6212,0.7858,3.6498
confront,0.4754,1.9364,1.3029,3.2443,1.5661,2.1030
expose,-1.4411,1.2246,0.9278,1.8962,3.0914,2.2749
whine to,-2.0121,-1.3657,1.3993,1.1881,2.1076,2.5052
admire,2.2986,1.5811,-0.1782,1.5375,1.8559,2.2687
interest,2.0682,1.8425,0.6772,1.5146,2.1092,1.8836
punish,-0.7946,1.5073,1.0231,1.8179,2.0195,2.0750
drink to,1.3919,1.1500,1.6881,2.9266,2.2018,1.2751
con,-2.8092,1.1354,0.7158,1.4814,4.1934,3.3223
honor,3.1200,2.9135,0.0858,1.5208,1.4330,2.1738
ignore,-1.7519,0.3262,-1.3046,1.5110,3.5122,2.2697
browbeat,-1.7955,0.8884,0.8303,2.3901,2.7450,2.1107
misjudge,-2.3035,0.4012,0.4300,1.2648,4.2081,2.4206
greet,2.6235,1.9396,1.3881,1.8936,1.4886,1.9220
banish,-2.2827,2.0166,0.9385,1.6873,3.9233,3.9473
authorize,1.3289,2.1315,0.3761,0.9507,1.4296,1.4965
enjoy,3.0665,2.0723,0.7973,0.9786,1.3466,1.8616
chat with,2.2596,1.1946,1.0504,1.1970,1.4139,1.8202
brawl with,-2.0369,0.6950,2.7416,2.2179,4.3204,1.0022
nag,-2.0238,-0.4254,2.0754,1.4224,3.1628,1.6265
trap,-2.7569,1.3350,0.8465,1.1813,4.5784,3.5705
