busboy,identity, 10 010000000 000
businessman,identity, 10 010000000 000
businesswoman,identity, 01 010000000 000
busybody,identity, 11 100000000 000
butcher,identity, 11 010000000 000
bystander,identity, 11 100000000 000
cabinet_maker,identity, 11 010000000 000
cabinet_member,identity, 11 000100000 000
cad,identity, 10 100000000 000
call_girl,identity, 01 000000001 001
capitalist,identity, 11 010000000 000
captive,identity, 11 001100000 001
carpenter,identity, 11 010000000 000
cashier,identity, 11 010000000 000
celebrity,identity, 11 110000000 000
cement_worker,identity, 11 010000000 000
censor,identity, 11 000100000 000
chain_smoker,identity, 11 100000000 100
chairman,identity, 11 011100000 000
chairman_of_the_board,identity, 10 010000000 000
chairwoman,identity, 01 011110000 000
chambermaid,identity, 01 010000000 000
champion,identity, 11 100010000 001
chap,identity, 10 100000000 000
chaplain,identity, 11 000000100 000
chatterbox,identity, 11 100000000 000
chauffeur,identity, 11 010100000 000
cheat,identity, 11 110000000 000
cheerleader,identity, 11 010010000 000
chef,identity, 11 010000000 000
chemical_engineer,identity, 10 010000000 000
chemist,identity, 11 010010000 000
chief_operations_officer,identity, 10 010000000 000
child,identity, 11 100000010 000
child_molester,identity, 11 001000011 001
chiropractor,identity, 11 000001000 001
chum,identity, 11 100000000 000
church_deacon,identity, 11 000000100 000
citizen,identity, 11 000100000 000
city_councilor,identity, 11 000100000 000
civil_engineer,identity, 10 010000000 000
civil_servant,identity, 11 001100000 000
classmate,identity, 11 000010000 000
cleaning_woman,identity, 01 111011010 000
clergy,identity, 11 000000100 000
clerical_worker,identity, 11 011010000 000
clerk,identity, 11 011000000 000
client,identity, 11 011000000 000
clod,identity, 11 100000000 000
clown,identity, 11 100000000 000
co_worker,identity, 11 010000000 000
coach,identity, 11 010010000 001
coal_miner,identity, 10 010000000 000
collaborator,identity, 11 000100000 000
colleague,identity, 11 000011000 000
college_student,identity, 11 000010000 000
comedian,identity, 11 100000000 000
commentator,identity, 11 010100000 000
commissioned_officer,identity, 10 000100000 000
commissioner,identity, 11 000100000 000
communist,identity, 11 000100000 000
companion,identity, 11 100000000 000
competitor,identity, 11 110110000 000
computer_programmer,identity, 11 010010000 000
con_artist,identity, 11 101000000 000
confidant,identity, 11 100000000 000
conformist,identity, 11 100000000 000
connoisseur,identity, 11 100000000 000
conservative,identity, 11 000100000 000
construction_contractor,identity, 10 010000000 000
construction_foreman,identity, 11 010000000 000
construction_laborer,identity, 11 010000000 000
consultant,identity, 11 011111000 000
consumer,identity, 11 010000000 000
convict,identity, 11 001000000 001
cook,identity, 11 010000000 000
cop,identity, 11 001000000 001
copycat,identity, 11 100000000 000
coroner,identity, 11 001001000 000
counselor,identity, 11 111111100 000
cousin,identity, 11 000000010 000
coward,identity, 11 100000000 000
craftsman,identity, 11 010000000 000
crane_operator,identity, 11 010000000 000
creditor,identity, 11 010000000 000
criminal,identity, 11 001000000 000
cripple,identity, 11 100001000 000
critic,identity, 11 100110000 000
crook,identity, 11 011000000 000
crybaby,identity, 11 100000000 000
culprit,identity, 11 001000000 010
custodian,identity, 11 010000000 000
customer,identity, 11 010000000 000
customs_officer,identity, 11 011000000 000
cutthroat,identity, 10 011100000 000
cynic,identity, 11 100110000 000
dairy_farmer,identity, 11 010000000 000
daredevil,identity, 11 100000000 000
daughter,identity, 01 000000010 000
daughter_in_law,identity, 01 000000010 000
deadbeat,identity, 11 010000000 000
deadbeat_dad,identity, 10 001000010 000
decorator,identity, 11 010000000 000
defendant,identity, 11 001000000 000
defense_attorney,identity, 11 001000000 000
degenerate,identity, 11 100001001 001
delinquent,identity, 11 001000000 000
dental_assistant,identity, 01 000001000 001
dental_hygienist,identity, 01 000001000 001
dentist,identity, 11 000001000 001
deputy,identity, 11 001000000 001
detective,identity, 11 001000000 001
devil,identity, 11 100000100 000
dietitian,identity, 11 010001000 000
dimwit,identity, 11 100000000 000
diner,identity, 11 010000000 000
diplomat,identity, 11 000100000 000
disabled_person,identity, 11 000001000 000
disciplinarian,identity, 11 000010110 001
dishwasher,identity, 11 010000000 000
district_attorney,identity, 11 001000000 000
divorce_lawyer,identity, 11 001000010 000
divorcee,identity, 01 000000010 000
do_nothing,identity, 11 110000000 000
doctor,identity, 11 000001000 101
doll,identity, 01 100000000 000
dolt,identity, 11 100000000 000
dope,identity, 11 100000000 000
drag_queen,identity, 10 000000001 000
dropout,identity, 11 000010000 000
drug_addict,identity, 11 001001000 000
drug_dealer,identity, 11 111000000 000
drunk,identity, 11 100000000 000
drunkard,identity, 11 100000000 000
dummy,identity, 11 100000000 000
dunce,identity, 11 000010000 000
economist,identity, 11 010010000 000
editor,identity, 11 010010000 000
educator,identity, 11 000010000 000
electrical_engineer,identity, 11 010000000 000
electrical_linesman,identity, 11 010000000 000
electrician,identity, 11 010000000 000
elementary_school_student,identity,11 000010000 000
elementary_school_teacher,identity,11 000010000 000
employee,identity, 11 010000000 000
employer,identity, 11 010000000 000
enemy,identity, 11 100100000 001
engineer,identity, 11 010000000 000
entrepreneur,identity, 11 010000000 000
environmentalist,identity, 11 110100000 000
evangelist,identity, 11 000000100 000
evildoer,identity, 11 000000100 000
ex_boyfriend,identity, 10 000000001 000
ex_convict,identity, 11 001000000 000
ex_girlfriend,identity, 01 000000001 000
ex_husband,identity, 10 000000011 000
ex_wife,identity, 01 000000011 000
executioner,identity, 11 001000000 001
executive,identity, 11 010000000 000
expert,identity, 11 011111000 000
extrovert,identity, 11 100000000 000
eyewitness,identity, 11 001000000 000
failure,identity, 11 110110000 100
fan,identity, 11 100000000 000
fanatic,identity, 11 100100000 000
farm_laborer,identity, 11 010000000 000
farmer,identity, 11 010000000 000
fast_food_server,identity, 11 010000000 000
father,identity, 10 000000010 001
father_in_law,identity, 10 000000010 000
fellow,identity, 10 100000000 000
felon,identity, 11 001000000 001
female,identity, 01 100000001 000
feminist,identity, 11 000100000 000
fiance,identity, 10 000000010 001
fiancee,identity, 01 000000010 001
fiend,identity, 11 000001101 000
fighter,identity, 11 100000000 001
file_clerk,identity, 11 010000000 000
film_star,identity, 11 010000000 000
firefighter,identity, 10 101000000 001
firstborn,identity, 11 000000010 000
fisherman,identity, 11 110000000 000
flight_attendant,identity, 11 010000000 000
flirt,identity, 11 000000001 000
flunky,identity, 11 110100000 000
follower,identity, 11 100100100 000
fool,identity, 11 100000000 000
foreigner,identity, 11 000100000 000
foreman,identity, 11 010000000 000
foster_child,identity, 11 000000010 001
foster_father,identity, 10 000000010 000
foster_mother,identity, 01 000000010 000
foster_parent,identity, 11 000000010 001
freak,identity, 11 100000000 000
freeloader,identity, 11 110100000 100
friend,identity, 11 100000000 000
fugitive,identity, 11 001000000 001
funeral_director,identity, 11 010000000 000
gal,identity, 01 100000000 000
gambler,identity, 11 110000000 000
gamer,identity, 11 100000000 000
gangster,identity, 10 011000000 000
garbage_collector,identity, 11 010000000 000
gas_station_attendant,identity,11 010000000 000
gay,identity, 11 000000001 000
geek,identity, 11 100010000 000
genius,identity, 11 000010000 000
gentleman,identity, 10 100000000 000
girl,identity, 01 100000001 000
girl_scout,identity, 01 100000000 000
girlfriend,identity, 01 000000001 001
glutton,identity, 11 100000000 000
gold_digger,identity, 01 010000001 000
golfer,identity, 11 100000000 000
goon,identity, 10 100000000 000
gossip,identity, 11 100000000 000
governor,identity, 11 000100000 000
graduate_student,identity, 11 000010000 000
grandchild,identity, 11 000000010 001
granddaughter,identity, 01 000000010 001
grandfather,identity, 10 000000010 001
grandmother,identity, 01 000000010 001
grandparent,identity, 11 000000010 001
grandson,identity, 10 000000010 001
granny,identity, 01 000000010 000
grind,identity, 11 000010000 000
grouch,identity, 11 100000000 000
grownup,identity, 11 000000010 000
guest,identity, 11 100000010 000
gunman,identity, 10 001000000 001
guy,identity, 10 100000000 000
half_brother,identity, 10 000000010 000
half_sister,identity, 01 000000010 000
half_wit,identity, 11 100000000 000
handicapped_person,identity, 11 001001000 000
handyman,identity, 10 110000000 000
has_been,identity, 11 010110000 000
heel,identity, 11 100000000 000
helper,identity, 11 110111000 000
henchman,identity, 10 001000000 001
hermit,identity, 11 100000000 000
hero,identity, 10 100000000 000
heterosexual,identity, 11 000000001 000
hick,identity, 11 100000000 000
hillbilly,identity, 11 100000000 000
hippie,identity, 11 100000000 000
hipster,identity, 11 100000000 000
homeless_person,identity, 11 100000000 000
homosexual,identity, 11 000000001 000
hooker,identity, 01 011000001 001
host,identity, 10 100000000 000
hostage,identity, 11 001100000 001
hostess,identity, 01 100000000 000
hothead,identity, 11 100000000 000
hotshot,identity, 11 100000000 000
housebreaker,identity, 11 001000000 000
houseguest,identity, 11 000000010 000
housekeeper,identity, 11 010000010 000
housewife,identity, 01 000000010 000
hunk,identity, 10 100000001 000
husband,identity, 10 000000011 001
hypochondriac,identity, 11 000001000 000
hypocrite,identity, 11 100000000 000
idiot,identity, 11 100000000 000
illegitimate_child,identity, 11 000000010 000
imbecile,identity, 11 100000000 000
immigrant,identity, 11 000100000 000
immigration_officer,identity, 11 001000000 000
in_law,identity, 11 000000010 000
infant,identity, 11 000001010 001
informant,identity, 11 001100000 000
informer,identity, 11 001000000 000
inmate,identity, 11 001000000 001
innocent,identity, 11 100000000 000
insider,identity, 11 010100000 000
inspector,identity, 11 001000000 001
instructor,identity, 11 000010000 000
insurance_agent,identity, 11 010000000 000
insurance_claims_investigator,identity,11 010000000 000
intellectual,identity, 11 100010000 000
intern,identity, 11 000001000 001
interpreter,identity, 11 100100000 000
interrogator,identity, 11 001000000 000
interviewer,identity, 11 010100000 000
intimate,identity, 11 000000001 001
introvert,identity, 11 100000000 000
intruder,identity, 11 101000000 000
invalid,identity, 11 000001000 001
investigator,identity, 11 001000000 000
jackass,identity, 11 100000000 000
janitor,identity, 11 010000000 000
jerk,identity, 11 100000000 000
