term,E,P,A,E2,P2,A2
turn_to,1.05,0.69,-0.16,1.05,0.69,-0.16
underpay,-1.67,-0.89,0.96,-1.67,-0.89,0.96
undress,-2.08,-1.03,1.29,-2.08,-1.03,1.29
warn,1.57,1.63,0.38,1.57,1.63,0.38
wash,0.17,0.46,0.10,0.17,0.46,0.10
watch,0.46,0.03,0.30,0.46,0.03,0.30
welcome,2.59,2.16,-0.11,2.59,2.16,-0.11
whip,-2.69,0.06,1.72,-2.69,0.06,1.72
whisper_to,0.09,-0.38,-0.12,0.09,-0.38,-0.12
wink_at,-0.23,0.21,0.14,-0.23,0.21,0.14
work,-0.45,0.04,0.70,-0.45,0.04,0.70
wrestle_with,-1.73,-0.02,1.06,-1.73,-0.02,1.06
yield_to,-1.08,-0.14,0.17,-1.08,-0.14,0.17
